study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes,core_length_flag,pb210_cic_accretion_rate,pb210_cic_notes,pb210_cic_max_depth,pb210_cic_r2,country,admin_division,habitat,stocks_qual_code,dates_qual_code,elevation_qual_code,max_depth
Weston_et_al_2023,Kennebec,KEN_1,2016,7,17,NA,43.763326,-69.77064814,NA,RTK,NA,1.723,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Maine,marsh,C2,B1,A1,36.645
Weston_et_al_2023,Kennebec,KEN_7,2016,7,18,NA,43.742535,-69.80410487,NA,RTK,NA,1.566,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Maine,marsh,C2,B1,A1,32.1
Weston_et_al_2023,Kennebec,KEN_8,2016,7,18,NA,43.740793,-69.80330684,NA,RTK,NA,1.588,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Maine,marsh,C2,B1,A1,26.936
Weston_et_al_2023,Plum Island Sound,PIE_1,2015,5,29,NA,42.7364795,-70.843544,NA,RTK,NA,1.356,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Massachusetts,marsh,C2,B1,A1,42.2
Weston_et_al_2023,Plum Island Sound,PIE_2,2015,5,30,NA,42.734807000000004,-70.8420865,NA,RTK,NA,1.137,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Massachusetts,marsh,C2,B1,A1,58.71
Weston_et_al_2023,Plum Island Sound,PIE_7,2015,5,30,NA,42.7398106,-70.801985,NA,RTK,NA,1.459,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Massachusetts,marsh,C2,B1,A1,66.56
Weston_et_al_2023,Plum Island Sound,PIE_8,2015,5,30,NA,42.7328231,-70.819291,NA,RTK,NA,1.372,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Massachusetts,marsh,C2,B1,A1,32.86
Weston_et_al_2023,Connecticut,CON_1,2015,6,25,NA,41.3001588,-72.3565551,NA,RTK,NA,0.634,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Connecticut,marsh,C2,B1,A1,47.385
Weston_et_al_2023,Connecticut,CON_2,2015,6,25,NA,41.300239500000004,-72.3569239,NA,RTK,NA,0.615,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Connecticut,marsh,C2,B1,A1,20.94
Weston_et_al_2023,Connecticut,CON_8,2015,6,25,NA,41.2933692,-72.3396728,NA,RTK,NA,0.681,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Connecticut,marsh,C2,B1,A1,28.134
Weston_et_al_2023,Delaware,DEL_3,2017,8,17,NA,39.241633,-75.1599044,NA,RTK,NA,0.853,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,New Jersey,marsh,C2,B1,A1,53.4
Weston_et_al_2023,Delaware,DEL_5,2017,8,17,NA,39.175475,-74.85718324,NA,RTK,NA,0.909,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,New Jersey,marsh,C2,B1,A1,42.32
Weston_et_al_2023,Delaware,DEL_9,2017,8,26,NA,39.207431,-75.40662405,NA,RTK,NA,1.087,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,44.376
Weston_et_al_2023,York,YRK_2,2018,6,20,NA,37.222046,-76.40676992,NA,RTK,NA,0.499,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Virginia,marsh,C2,B2,A2,52.35
Weston_et_al_2023,York,YRK_3,2018,6,20,NA,37.221712,-76.40215684,NA,RTK,NA,0.431,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Virginia,marsh,C2,B1,A1,64.232
Weston_et_al_2023,York,YRK_5,2018,6,20,NA,37.298197,-76.55527604,NA,RTK,NA,0.263,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Virginia,marsh,C2,B2,A2,52.15
Weston_et_al_2023,James,JMS_2,2018,6,21,NA,36.963321,-76.49417063,NA,RTK,NA,0.501,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Virginia,marsh,C2,B2,A2,64.418
Weston_et_al_2023,James,JMS_3,2018,6,21,NA,36.960703,-76.49183393,NA,RTK,NA,0.579,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Virginia,marsh,C2,B1,A1,82.88
Weston_et_al_2023,James,JMS_4,2018,6,21,NA,36.958421,-76.49064114,NA,RTK,NA,0.518,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Virginia,marsh,C2,B1,A1,76.146
Weston_et_al_2023,Cape Fear,CPF_2,2016,6,15,NA,33.9521,-77.9757,NA,RTK,NA,0.481,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,North Carolina,marsh,C2,B1,A1,106.6
Weston_et_al_2023,Cape Fear,CPF_4,2016,6,15,NA,33.9205,-77.9731,NA,RTK,NA,0.216,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,North Carolina,marsh,C2,B1,A1,97.29729729729728
Weston_et_al_2023,Cape Fear,CPF_6,2016,6,15,NA,33.911,-77.9733,NA,RTK,NA,0.116,NAVD88,NA,RTK,Trimble 5800 RTK-GPS,NA,NA,NA,emergent,field observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,North Carolina,marsh,C2,B1,A1,94.203
