"study_id","site_id","plot_id","plot_area","plot_shape","plot_center_latitude","plot_center_longitude","plot_radius","year","month","day","field_or_manipulation_code","habitat","dominant_species","plant_plot_detail_present","soil_core_present","latitude","longitude","position_method","max_soil_depth_reporting","plot_notes","ecosystem_type","protection_status","protection_notes","ecosystem_health","salinity","plant_count","plot_soil_carbon_total","plot_soil_carbon_100cm","plot_plant_carbon","salinity_class","salinity_method","vegetation_class","coordinates_obscured_flag","land_use_class","land_use_status","plot_basal_density","position_notes","debris_carbon","understory_carbon","soil_carbon_100cm","soil_carbon_300cm","aboveground_plant_carbon","belowground_plant_carbon","method_id","plot_sapling_area","site_notes","position_accuracy","disturbance_notes","disturbance_year","ecosystem_condition","disturbance_class","ecotype","basal_area","harvest_or_allometry","coordinate_obscured_flag","stand_age","aboveground_biomass","belowground_biomass","aboveground_carbon","belowground_carbon","basal_area_unit"
"Simard_et_al_2019","south_america_Brazil_South","Brazil_South_1","1963.5","circle","-23.90587","-46.19775","25.00002923042037","2012","11","28","field","mangrove","Rhizophora mangle","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Brazil_South","Brazil_South_2","1963.5","circle","-23.90485","-46.1981","25.00002923042037","2012","11","28","field","mangrove","Rhizophora mangle","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Brazil_South","Brazil_South_3","314.2","circle","-23.85614","-46.15034","10.000648290933295","2012","11","28","field","mangrove","Rhizophora mangle","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Brazil","Brazil_1ABCD","400","square","-0.933167","-46.710333",NA,"2012","11","20","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Brazil","Brazil_2","1963.5","circle","-0.93794","-46.71276","25.00002923042037","2012","11","21","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Brazil","Brazil_3A","100","square","-0.89767","-46.66491",NA,"2012","11","22","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Brazil","Brazil_3B","100","square","-0.89767","-46.66491",NA,"2012","11","22","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Brazil","Brazil_3C","100","square","-0.89767","-46.66491",NA,"2012","11","22","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Brazil","Brazil_3D","100","square","-0.89767","-46.66491",NA,"2012","11","22","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Brazil","Brazil_4","706.9","circle","-0.89494","-46.65908","15.000441944933543","2012","11","22","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Brazil","Brazil_5_ESTIVA",NA,"circle","-0.84202","-46.61227",NA,"2012","11","23","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Brazil","Brazil_5_TAICI",NA,"circle","-0.96979","-46.7368",NA,"2012","11","23","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Atascosa_1_50m",NA,NA,"11.03506","-74.69666",NA,"2005","6","17","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Atascosa_2_100m",NA,NA,"11.03342","-74.69694",NA,"2005","6","17","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_CienagaTorno_50m",NA,NA,"11.05612","-74.7474",NA,"2005","6","15","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Fundacion_1_15m",NA,NA,"10.731111","-74.420192",NA,"2005","6","14","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Fundacion_2_40m",NA,NA,"10.730864","-74.420172",NA,"2005","6","14","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Fundacion_3_5m",NA,NA,"10.72975","-74.420169",NA,"2005","6","14","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Fundacion_4_150m",NA,NA,"10.728425","-74.420111",NA,"2005","6","14","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Fundacion_5_250m",NA,NA,"10.727533","-74.420072",NA,"2005","6","14","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Fundacion_6_300m",NA,NA,"10.727206","-74.420058",NA,"2005","6","14","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Fundacion_West_1_50m",NA,NA,"10.7282","-74.43576",NA,"2005","6","15","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Fundacion_West_2_175m",NA,NA,"10.727078","-74.436086",NA,"2005","6","15","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Fundacion_West_3_275m",NA,NA,"10.726278","-74.436425",NA,"2005","6","15","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Fundacion_West_4_442m",NA,NA,"10.7244","-74.43711",NA,"2005","6","15","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Fundacion_West_5_604m",NA,NA,"10.72295","-74.43788",NA,"2005","6","15","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Salamanca_1_30m",NA,NA,"11.04257","-74.70518",NA,"2005","6","16","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Salamanca_2_130m",NA,NA,"11.041814","-74.7061",NA,"2005","6","16","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Salamanca_3_230m",NA,NA,"11.041308","-74.706878",NA,"2005","6","16","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Salamanca_4_330m",NA,NA,"11.040578","-74.707511",NA,"2005","6","16","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","south_america_Columbia","Columbia_Sevilla",NA,NA,"10.8709","-74.32397",NA,"2005","6","13","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","central_america_CostaRica","P1","625","square","8.94176","-83.61406",NA,"2013","5","8","field","mangrove","Pelliciera rhizophorae","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
