study_id,site_id,site_description,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes
Vincent_and_Dionne_2023,Webhannet,"Salt marsh highmarsh habitat,  back barrier marsh, located in Wells, Maine",43.31940078735352,43.29133987426758,-70.57196807861328,-70.57562255859375,estuarine,field observation,Hand-held Refractometer,emergent,measurement,Visual estimation using 1 m plots,high,field observation,"Vegetation community, field observations of tidal inundation, tide charts"
Vincent_and_Dionne_2023,Drakes Island,"Salt marsh highmarsh habitat,  back barrier marsh, located in Wells, Maine",43.33057403564453,43.32879257202149,-70.54712677001953,-70.63771057128906,estuarine,field observation,Hand-held Refractometer,emergent,measurement,Visual estimation using 1 m plots,high,field observation,"Vegetation community, field observations of tidal inundation, tide charts"
Vincent_and_Dionne_2023,Little River,"Salt marsh highmarsh habitat,  back barrier marsh, located in Wells, Maine",43.34575653076172,43.33320999145508,-70.53801727294922,-70.54401397705078,estuarine,field observation,Hand-held Refractometer,emergent,measurement,Visual estimation using 1 m plots,high,field observation,"Vegetation community, field observations of tidal inundation, tide charts"
Trettin_et_al_2017,1001,NA,-18.831799,-18.831799,36.240201,36.240201,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1079,NA,-18.840148,-18.840148,36.264355,36.264355,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1113,NA,-18.845148,-18.845148,36.213549,36.213549,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1130,NA,-18.845914,-18.845914,36.306805,36.306805,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1216,NA,-18.854252,-18.854252,36.123515,36.123515,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1219,NA,-18.854268,-18.854268,36.237751,36.237751,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1254,NA,-18.860066,-18.860066,36.269428,36.269428,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1285,NA,-18.86529,-18.86529,36.141464,36.141464,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,13,NA,-18.744,-18.744,36.112,36.112,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1305,NA,-18.868526,-18.868526,36.282128,36.282128,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1314,NA,-18.870943,-18.870943,36.20356,36.20356,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1317,NA,-18.871772,-18.871772,36.280204,36.280204,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1359,NA,-18.87926,-18.87926,36.152707,36.152707,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1361,NA,-18.881442,-18.881442,36.168942,36.168942,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,1382,NA,-18.88302,-18.88302,36.174246,36.174246,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,15,NA,-18.743,-18.743,36.119,36.119,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,16,NA,-18.743,-18.743,36.128,36.128,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,17,NA,-18.75,-18.75,36.115,36.115,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,25,NA,-18.76,-18.76,36.144,36.144,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,26,NA,-18.762,-18.762,36.139,36.139,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,27,NA,-18.766,-18.766,36.15,36.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,29,NA,-18.767,-18.767,36.151,36.151,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,32B,NA,-18.746,-18.746,36.21,36.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,35,NA,-18.747,-18.747,36.216,36.216,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,36,NA,-18.746,-18.746,36.223,36.223,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,37,NA,-18.752,-18.752,36.214,36.214,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,806,NA,-18.808457,-18.808457,36.3035,36.3035,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,864,NA,-18.818504,-18.818504,36.24601,36.24601,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9001,NA,-18.831602,-18.831602,36.264041,36.264041,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9002,NA,-18.850342,-18.850342,36.26043,36.26043,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9003,NA,-18.875474,-18.875474,36.275058,36.275058,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9004,NA,-18.833962,-18.833962,36.18594,36.18594,NA,NA,NA,NA,NA,NA,NA,NA,NA
