study_id,site_id,site_description,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min,salinity_class,salinity_method,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes
Callaway_et_al_2019,Brown_Island,Tidal brackish wetland in San Francisco Bay estuary,38.038935099999996,38.035741900000005,-121.85758399999999,-121.86944000000001,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,China_Camp,"Saline, natural wetland in San Francisco Bay estuary",38.016055099999996,38.0079299,-122.48365720000001,-122.50177479999999,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Cogswell,Restored salt marsh in San Francisco Bay estuary,37.6417974,37.6320126,-122.1479458,-122.1519442,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Coon_Island,"Saline, natural wetland in San Francisco Bay estuary",38.1998057,38.1853373,-122.3185862,-122.3263358,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Muzzi,Restored salt marsh in San Francisco Bay estuary,37.9298808,37.9261392,-122.5030651,-122.5096279,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Petaluma_River,"Saline, natural wetland in San Francisco Bay estuary",38.1818061,38.1566769,-122.5419045,-122.5555665,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Rush_Ranch,Tidal brackish wetland in San Francisco Bay estuary,38.2037069,38.1882521,-122.00915529999999,-122.0421757,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Whale's_Tail,"Saline, 100 year old wetland in San Francisco Bay estuary",37.6016588,37.5864812,-122.1414779,-122.1459311,NA,NA,NA,NA,NA,NA,NA,NA
Doughty_et_al_2016,KCSC-20C,NA,28.581994899999998,28.579332100000002,-80.6701826,-80.6742794,NA,NA,NA,NA,NA,NA,NA,NA
Doughty_et_al_2016,MIPineIsland,NA,28.4908287,28.4902083,-80.7228217,-80.7234853,NA,NA,NA,NA,NA,NA,NA,NA
Doughty_et_al_2016,MIT-9N,NA,28.7098023,28.7090787,-80.7380332,-80.7390388,NA,NA,NA,NA,NA,NA,NA,NA
Doughty_et_al_2016,MIT-9S,NA,28.708249600000002,28.707894399999997,-80.73795059999999,-80.7382314,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,NA,47.096953,47.092957000000006,-122.698335,-122.701155,polyhaline,NA,emergent,NA,NA,NA,NA,NA
Fell_et_al_2021,GTMNERRMiddle,We examined soil carbon storage in 2018 for a salt mangrove-marsh ecotone along the northeastern coast of Florida near St. Augustine. We established (12) 1.5m^2 PVC chamber plots with mangroves of similar size/age and (12) with only salt marsh grasses. Middle site contains an intermediate level of mangroves compared with the other sides.,29.83637222222222,29.002319444444446,-81.29475833,-81.295289,saline,measurement,emergent,field observation,NA,low,field observation,NA
Fell_et_al_2021,GTMNERRNorthern,We examined soil carbon storage in 2018 for a salt marsh-mangrove ecotone along the northeastern coast of Florida near St. Augustine. We established (12) 1.5m^2 PVC chamber plots with mangroves of similar size/age and (12) with only salt marsh grasses. Northern contains the lowest level of mangroves with an average mangrove age around 7.3 years.,30.0120361,30.0111778,-81.343925,-81.34465,estuarine,measurement,emergent,field observation,NA,low,field observation,NA
Giblin_and_Forbrich_2018,Nelson_Island_Creek,"Plum Island Sound Estuary, Massachusetts, USA",42.7426052,42.7422908,-70.8305103,-70.8308067,NA,NA,emergent,NA,NA,NA,NA,NA
Kairis_and_Rybczyk_2010,Padilla_Bay,NA,48.51479,48.51479,-122.52914,-122.52914,NA,NA,seagrass,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Criteser's Marsh,Yaquina Bay Estuary,44.5899,44.5896,-123.9464,-123.9476,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Danger Point High Marsh,Coos Bay Estuary,43.2836,43.2828,-124.323,-124.3235,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Delta Island Marsh,Skagit Estuary,48.3531,48.3526,-122.4633,-122.4643,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Fir Island Marsh,Skagit Estuary,48.3326,48.3318,-122.417,-122.4177,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Hampel High Marsh,Coos Bay Estuary,43.3196,43.3192,-124.3313,-124.3324,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Hidden Creek Low Marsh,Coos Bay Estuary,43.2936,43.2928,-124.3233,-124.3238,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,John's Marsh,Grays Harbor Estuary,46.8915,46.8908,-123.9868,-123.9876,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Mad River Marsh,Humboldt Bay,40.8865,40.8856,-124.1406,-124.1406,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Metcalf High Marsh,Coos Bay Estuary,43.3359,43.3351,-124.3281,-124.3284,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Metcalf Low Marsh,Coos Bay Estuary,43.3354,43.3345,-124.3277,-124.328,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Millicoma High Marsh,Coos Bay Estuary,43.3691,43.3682,-124.1849,-124.185,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Poole Slough,Yaquina Bay Estuary,44.5784,44.5781,-124.0136,-124.0147,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Secret River High Marsh,Lower Columbia River Estuary,46.3057,46.3048,-123.6924,-123.6924,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Secret River Low Marsh,Lower Columbia River Estuary,46.306,46.3051,-123.695,-123.6951,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Skagit Wildlife Marsh,Skagit Estuary,48.3219,48.3217,-122.3939,-122.3952,NA,NA,emergent,NA,NA,NA,NA,NA
Kauffman_et_al_2020,South Bay,Humboldt Bay,40.7045,40.704,-124.211,-124.2166,NA,NA,emergent,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,NA,NA,NA,NA,NA,oligohaline,NA,emergent,measurement,NA,low,NA,NA
Krauss_et_al_2018,Savannah_River_mid,NA,NA,NA,NA,NA,oligohaline,NA,forested,measurement,NA,mid,NA,NA
Krauss_et_al_2018,Savannah_River_mid,NA,NA,NA,NA,NA,oligohaline,NA,emergent,measurement,NA,low,NA,NA
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_high,NA,NA,NA,NA,NA,oligohaline,NA,emergent,measurement,NA,low,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2426,Lower Ashepoo River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1266,Indian River Lagoon; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2418,Beaufort River-Atlantic Intracoastal Waterway; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2407,North Edisto River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2434,Beaufort River-Atlantic Intracoastal Waterway; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2435,North Edisto River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-R067,Lower Yellow River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1002,Fish River-Frontal Mobile Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1105,San Francisco Bay; California,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2639,Currituck Sound; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2637,Mobjack Bay-Lower Chesapeake Bay; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2420,Bulls Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2066,Oyster Creek-Jarrett Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,forested to shrub,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2025,Neuse River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,forested to shrub,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2404,Bulls Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2412,Little River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2647,Lower York River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2634,Mobjack Bay-Lower Chesapeake Bay; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2652,Machipongo River-Hog Island Bay; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2427,Great Pee Dee River-Winyah Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1021,Fish River-Frontal Mobile Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1017,Fish River-Frontal Mobile Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1823,Roque Bluffs Frontal Drainages; New England,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1836,Schoodic Point-Petit-Manan Point Frontal Drainages; New England,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1010,Fish River-Frontal Mobile Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1203,Rehoboth Bay; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2599,Matagorda Bay; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2531,East Branch Mad Island Slough-Matagorda Bay; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1222,Smyrna River-Delaware Bay; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1210,Inland Bays; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-R127,Pt Aux Chenes Bay-Mississippi Sound; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1622,Terrebonne Bay-Frontal Gulf of Mexico; Lower Mississippi,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2588,East Branch Mad Island Slough-Matagorda Bay; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1197,Smyrna River-Delaware Bay; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1226,Appoquinimink River-Delaware River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2443,Great Pee Dee River-Winyah Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2450,Calibogue Sound; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2454,Coosaw River-Port Royal Sound; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
