study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes,core_length_flag,country,admin_division,habitat,stocks_qual_code,dates_qual_code,elevation_qual_code,max_depth
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,2015,11,20,NA,29.918666075555556,-93.34708549805555,NA,RTK,NA,0.2714333333333333,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,24
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,2015,11,20,NA,29.9186604275,-93.34346374444443,NA,RTK,NA,0.3756333333333333,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,26
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,2015,11,20,NA,29.91903731416667,-93.34347062916666,NA,RTK,NA,0.3791,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,28
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,2015,11,20,NA,29.919426718333334,-93.34528391583333,NA,RTK,NA,0.35857500000000003,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,30
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,2015,11,20,NA,29.919825778611113,-93.34348262111111,NA,RTK,NA,0.36336666666666667,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,26
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,2015,11,20,NA,29.921027103333333,-93.34538804527777,NA,RTK,NA,0.33446666666666663,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,30
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,2016,9,1,NA,29.900838043055554,-93.37099172027777,NA,RTK,NA,0.2702,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,24
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,2016,9,1,NA,29.9007105225,-93.36906328027777,NA,RTK,NA,0.30526666666666663,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,22
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,2016,9,1,NA,29.900013447777777,-93.36845573083333,NA,RTK,NA,0.39030000000000004,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,24
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,2016,9,1,NA,29.899892958055556,-93.3663540136111,NA,RTK,NA,0.37666666666666665,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,22
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,2016,9,1,NA,29.89725611388889,-93.36240746277777,NA,RTK,NA,0.4117666666666667,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,22
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,2016,9,1,NA,29.896845859166667,-93.36101874138889,NA,RTK,NA,0.3737,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,24
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,2015,9,18,NA,29.963816488888888,-93.42210168055556,NA,RTK,NA,0.13405,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,22
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-2,2015,9,18,NA,29.963652413888887,-93.41308446111111,NA,RTK,NA,0.0695,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,22
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-3,2015,9,18,NA,29.96300348611111,-93.41037663611111,NA,RTK,NA,0.0683,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,28
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-4,2015,9,18,NA,29.962279475,-93.415834375,NA,RTK,NA,0.14963333333333334,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,24
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-5,2015,9,18,NA,29.95991099722222,-93.4113032,NA,RTK,NA,0.08076666666666667,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,34
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-6,2015,9,18,NA,29.959116119444445,-93.40863091111112,NA,RTK,NA,0.017666666666666667,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,26
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-1,2015,9,19,NA,29.933492716666667,-93.41669687222223,NA,RTK,NA,-0.06182500000000001,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,30
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-2,2015,9,19,NA,29.93271216388889,-93.41756226944445,NA,RTK,NA,-0.05443333333333333,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,24
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-3,2015,9,19,NA,29.932694911111113,-93.41487256388889,NA,RTK,NA,-0.12205,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,28
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-4,2015,9,19,NA,29.93040060555556,-93.41667581944445,NA,RTK,NA,0.004950000000000001,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,24
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-5,2015,9,19,NA,29.92494480555556,-93.42210024444445,NA,RTK,NA,0.04165,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,24
