study_id,method_id,coring_method,roots_flag,sediment_sieved_flag,sediment_sieve_size,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_time,dry_bulk_density_sample_volume,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,loss_on_ignition_sample_volume,loss_on_ignition_sample_mass,loss_on_ignition_flag,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type,carbon_profile_notes,cs137_counting_method,pb210_counting_method,excess_pb210_rate,excess_pb210_model,ra226_assumption,c14_counting_method,dating_notes,age_depth_model_reference,age_depth_model_notes,fraction_carbon_flag,pb210_background_assumption
Abbott_et_al_2019,single set of methods,polycarbonate tube,roots and rhizomes included,NA,NA,corer limits compaction,60,NA,NA,to constant mass,550,4,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen_et_al_2022,single set of methods,mcauley corer,roots and rhizomes included,sediment not sieved,NA,corer limits compaction,70,48,NA,NA,400,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alpha,depth,CIC,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,single set of methods,piston corer,roots and rhizomes separated,sediment sieved,1,compaction quantified,60,NA,NA,NA,550,5,NA,NA,NA,measured,TRUE,direct acid treatment,EA,organic carbon,DBD was estimated as the dry mass of the slice divided the core volume sampled. The core volume sampled was estimated as the product of the core tube area (pi*r2) and the slicing-thickness (h); sample mass used for LOI ranged from 0.5 to 1g; estimated fraction organic carbon calculated using LOI% to Corg% relationship: Corg% = 0.513*LOI%-1.9,NA,alpha,mass accumulation,CRS,selected samples,NA,"A box model approach similar to the CRS model was used, but missing excess 210Pb inventories had to be inferred from historic wetland soils in the same area. The box model was based on the annual atmospheric flux of 210Pbxs estimated for the area and calculated from the mean 210Pbxs inventory of six dated intact wetland soils in a nearby location. We confirmed our estimate with data from direct measurements of 210Pbxs atmospheric deposition in artificial collectors in Berkeley, California. The box model was applied to calculate the 210Pbxs inventory (It) expected to have accumulated since restoration (t) at each site. Through this method we could locate the year of restoration (known date) in our soil depth profiles, which was equivalent to the depth at which these inventories (It) were met. A publications using a similar approach is: Marbà et al. 2015",core collection date,custom box model used,NA,NA
Arriola_and_Cable_2017,single set of methods,push core,NA,NA,NA,compaction qualified,60,48,NA,NA,550,4,NA,NA,NA,measured,TRUE,acid fumigation,EA,total carbon,NA,gamma,gamma,NA,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Baustian_et_al_2021,single set of methods,mcauley corer,NA,NA,NA,NA,NA,NA,40.85641245993526,freeze dried,550,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,single set of methods,pvc and hammer,NA,NA,NA,NA,NA,NA,NA,modeled,550,4,NA,4,NA,NA,NA,NA,EA,NA,NA,gamma,gamma,accretion,CIC,NA,NA,NA,NA,NA,NA,NA
Boyd_and_Sommerfield_2016,single set of methods,pvc and hammer,NA,NA,NA,NA,NA,NA,NA,modeled,550,4,NA,4,NA,NA,NA,NA,EA,NA,NA,gamma,gamma,accretion,CFCS,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2017,single set of methods,piston corer,roots and rhizomes included,NA,NA,corer limits compaction,NA,NA,NA,modeled,550,4,NA,4,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,not specified,CFCS,NA,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2020,single set of methods,pvc and hammer,roots and rhizomes included,sediment not sieved,NA,no obvious compaction,105,24,NA,air dried to constant mass,550,3,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,NA,CRS,NA,NA,NA,core collection date,NA,NA,NA
Burden_et_al_2018,single set of methods,NA,roots and rhizomes separated,sediment sieved,2,NA,80,72,NA,air dried to constant mass,375,16,NA,NA,NA,measured,FALSE,carbonates not removed,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,single set of methods,hargas corer,NA,NA,NA,compaction qualified,85,72,NA,NA,450,8,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,gamma,gamma,accretion,CIC,NA,NA,NA,NA,NA,NA,pb214
Carlin_et_al_2021,single set of studies,push core,roots and rhizomes included,sediment not sieved,NA,compaction qualified,60,8,1,time approximate,550,2,NA,NA,NA,measured,TRUE,direct acid treatment,EA,organic carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,"PLUM dating model: Aquino-López, M.A., Blaauw, M., Christen, J.A., Sanderson, N.K., 2018. Bayesian Analysis of 210Pb Dating. Journal of Agricultural, Biological and Environmental Statistics 23, 317-333.",CE,PLUM software used,NA,NA
Chambers_et_al_2019,1 meter cores,push core,roots and rhizomes included,sediment not sieved,NA,no obvious compaction,70,72,NA,time approximate,550,3,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochran_et_al_1998,single set of methods,mccaffrey peat cutter,NA,NA,NA,NA,60,48,NA,duplicate measurements,450,12,NA,NA,duplicate measurements,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craft_2007,single set of methods,none specified,NA,NA,NA,NA,NA,NA,NA,air dried to constant mass,NA,NA,NA,NA,NA,measured,TRUE,direct acid treatment,EA,total carbon,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRMS_Database,single set of methods,push core,NA,NA,NA,compaction quantified,NA,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doughty_et_al_2016,single set of methods,other shallow corer,roots and rhizomes separated,sediment not sieved,NA,compaction quantified,105,336,NA,air dried to constant mass,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake_et_al_2015,single set of methods,none specified,NA,NA,NA,NA,105,NA,NA,not specified,NA,NA,NA,NA,NA,measured,NA,none specified,NA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2013,single set of methods,hargas corer,NA,NA,2,corer limits compaction,80,NA,NA,time approximate,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,CE,NA,NA,NA
Drexler_et_al_2019,single set of methods,hargas corer,NA,sediment sieved,2,corer limits compaction,80,NA,NA,time approximate,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,gamma,mass accumulation,CRS,each sample,NA,NA,NA,NA,NA,NA
Elsey_Quirk_et_al_2011,single set of methods,push core,NA,NA,NA,NA,60,12,NA,time approximate,460,8,NA,NA,NA,measured,TRUE,acid fumigation,NA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,single set of studies,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction quantified,60,NA,56.745,air dried to constant mass,550,4,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fell_et_al_2021,single set of methods,gouge auger,roots and rhizomes included,sediment not sieved,NA,no obvious compaction,100,NA,424.05,not specified,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,single set of methods,russian corer,NA,NA,NA,NA,NA,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,YBP,NA,NA,NA
Giblin_and_Forbrich_2018,single set of methods,none specified,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2018,single set of methods,piston corer,roots and rhizomes included,sediment not sieved,NA,no obvious compaction,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,measured,FALSE,carbonates not removed,EA,total carbon,NA,gamma,gamma,NA,CRS,NA,NA,NA,core collection date,NA,NA,NA
Hill_and_Anisfeld_2015,single set of methods,push core,NA,NA,NA,NA,60,NA,NA,not specified,550,NA,NA,NA,not specified,measured,TRUE,acid fumigation,NA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnson_et_al_2007,single set of methods,vibracore,NA,NA,NA,NA,100,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,TRUE,direct acid treatment,NA,organic carbon,NA,NA,NA,NA,NA,NA,AMS,NA,YBP,NA,NA,NA
Kauffman_et_al_2020,single set of methods,gouge auger,roots and rhizomes included,sediment not sieved,NA,NA,60,96,NA,time approximate,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2020,single set of methods,piston corer,NA,NA,NA,corer limits compaction,110,24,NA,NA,550,4,NA,4,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,NA,NA,NA,NA,NA,CE,NA,NA,NA
Keshta_et_al_2020,wetland cores,russian corer,roots and rhizomes separated,sediment sieved,2,corer limits compaction,105,72,45.2389,air dried to constant mass,550,2,NA,NA,time approximate,modeled,TRUE,direct acid treatment,local regression,total carbon,"a peat sampler was used for all wetland habitats, except the adjacent uplands where regular soil core was used for soil sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keshta_et_al_2020,upland cores,push core,roots and rhizomes separated,sediment sieved,2,corer limits compaction,105,72,171.0597,air dried to constant mass,550,2,NA,NA,time approximate,modeled,TRUE,direct acid treatment,local regression,total carbon,"a peat sampler was used for all wetland habitats, except the adjacent uplands where regular soil core was used for soil sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,piston corer used,piston corer,NA,NA,NA,compaction quantified,NA,NA,NA,modeled,550,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,core collection date,NA,NA,NA
Krauss_et_al_2018,vibracore used,vibracore,NA,NA,NA,compaction quantified,NA,NA,NA,modeled,550,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,core collection date,NA,NA,NA
Krauss_et_al_2018,russian corer used,russian corer,NA,NA,NA,corer limits compaction,NA,NA,NA,modeled,550,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,core collection date,NA,NA,NA
Kulawardhana_et_al_2015,single set of methods,other shallow corer,roots and rhizomes separated,NA,NA,no obvious compaction,105,48,NA,NA,440,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,soil carbon measured,piston corer,roots and rhizomes separated,sediment sieved,1,no obvious compaction,60,NA,NA,air dried to constant mass,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,radioisotopes measured,piston corer,NA,NA,NA,no obvious compaction,NA,168,NA,freeze dried,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA
McClellan_et_al_2021,single set of methods,none specified,roots and rhizomes separated,sediment not sieved,NA,NA,60,NA,NA,air dried to constant mass,550,4,NA,1,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McTigue_et_al_2020,single set of methods,russian corer,roots and rhizomes included,sediment not sieved,NA,corer limits compaction,60,NA,NA,to constant mass,450,6,NA,NA,time approximate,NA,TRUE,direct acid treatment,EA,organic carbon,NA,NA,alpha,mass accumulation,CFCS,NA,AMS,NA,core collection date,NA,NA,NA
