"StudyID","SampleID","Citation (or dataset description)","Sampling design","Coring method(s)","Core compaction","C method(s)","Inorganic carbon method","CHN analyzer","Core root treatment","LOI duration","LOI temperature","Link to study","Link to data","Notes"
"1","91-279","Kauffman JB, Giovannoni L, Kelly J, Dunstan N, Borde A, Diefenderfer H, Cornu C, Janousek C, Apple J, Brophy L. 2020. Total ecosystem carbon stocks at the marine-terrestrail interface: Blue carbon of the Pacific Northwest Coast, United States. Global Change Biology 26:5679-5692.","6 cores per site, usually spaced ~20m apart on each transect","Gouge auger","Probably minimal","CHN analyzer, biomass harvests, litter bags",NA,NA,NA,NA,NA,"https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.15248","https://doi.org/10.25573/serc.12640172.v2 ",NA
"2","476-534","Callaway JC, Borgnis EL, Turner RE, Milan CS. 2012. Carbon Sequestration and Sediment Accretion in San Francisco Bay Tidal Wetlands. Estuaries and Coasts 35:1163–1181.","Sampled 2 transects per site from random starting points; transects oriented towards water body to obtain different elevations","Sharp aluminum corer, 15 cm diam","Measured; core not used if compaction >3 cm","LOI",NA,"Flash 2000 Organic Elemental Analyzer","Roots not removed","8","450","https://link.springer.com/article/10.1007/s12237-012-9508-9","https://doi.org/10.25573/data.9693251.v1",NA
"3","571-590","Lutz MD. 2018. A search for blue carbon in central  Salish Sea eelgrass meadows. MS thesis, Western Washington University.","Selected sites assumed to be highly depositional in larger eelgrass patches. Pair of cores in veg and unveg patches","PVC tube, 10 cm diam","Measured","LOI and CHN (subset of samples)","Some samples measured after LOI","Thermo Electron Corp Flash EA 1112",NA,"6-24","500","https://cedar.wwu.edu/wwuet/757/",NA,"Elevation estimates using NOAA tide predictions."
"4","21-29","Hodgson, C. and Spooner, A. 2016. The K'omoks and Squamish Estuaries: A Blue Carbon Pilot Project: Final Report to North American Partnership for Environmental Community Action Grant 2014-1362. Comox Valley Project Watershed Society and Squamish River Watershed Society.","3 intertidal and 3 subtidal sites (FL & SG) selected","Acrylic tubes, 11.5 cm diam","Measured, about 2 cm","CHN","IC removed from samples",NA,NA,NA,NA,"https://projectwatershed.ca/wp-content/uploads/2020/05/Project-Watershed_NAPECA-Final-Report-ComoxValleyEelgrass.pdf",NA,"Estuary has had some disturbance, but no indication that sampled beds were highly disturbed"
"5","295-306","Thom RM. 1992. Accretion rates of low Intertidal salt marshes in the Pacific Northwest. Wetlands 12:147-156.",NA,NA,NA,"LOI; above-ground harvest of biomass",NA,NA,NA,"1","500","https://link.springer.com/article/10.1007/BF03160603","https://doi.org/10.25573/data.10046189.v2",NA
"6","307-378","Peck EK, Wheatcroft RA, Brophy LS. 2020. Controls on sediment accretion and blue carbon burial in tidal saline wetlands: Insights from the Oregon coast, USA. JGR Biogeosceiences 125:e2109JG005464","Random, using GIS. Est stratified by wetland class. Coring locations is approx center of wetland class strata. In field nav to location with HH GPS.","Push corer","7 (+/-4)% as measuredover entire 1.5-3m core length","LOI, CHN (subset)","HCl fumigation of samples to remove inorganic C (Peck, pers comm)",NA,NA,"4","550","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2019JG005464","https://doi.org/10.25573/serc.11317820.v2 ",NA
"7","88-90; 720-740","Rohr ME, et al. 2018. Blue Carbon Storage Capacity of Temperate Eelgrass (Zostera marina) Meadows. Global Biogeochemical Cycles 32:1457-1475.","Random locations within sites","Acrylic push corer",NA,"LOI",NA,NA,"May have been removed","4","520","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GB005941","Data are in supplemental table S1 in the paper and from: https://zenodo.org/record/1412380#.XdWlC-hKiUk","8 sites are part of the global Zen network."
"8","63-87","Crooks S, Rybczyk J, O’Connell K, Devier DL, Poppe K, Emmett-Mattox S. 2014. Coastal blue carbon opportunity assessment for the Snohomish Estuary: The climate benefits of estuary restoration. Environmental Science Associates, Western Washington University, EarthCorps, and Restore America’s Estuaries.",NA,NA,NA,"bulk density, CHN",NA,NA,NA,NA,NA,NA,NA,NA
"9","391-423","Sanborn P, Coxson DS. 2020. Dataset: Carbon data for intertidal soils and sediments, Skeena River estuary, British Columbia.",NA,"Excavated soil pits",NA,"CN analysis, bulk density",NA,NA,NA,NA,NA,NA,"https://doi.org/10.25573/serc.12252005.v1 ",NA
"10","424-447; 810-825","Thorne KM et al. 2015. Marshes to mudflats-effects of sea-level rise on tidal marshes along a latitudinal gradient in the Pacific Northwest. USGS Open-File Report 2015-1204.",NA,NA,NA,"LOI",NA,NA,NA,"8","550","USGS data release: https://www.sciencebase.gov/catalog/item/55ae7d09e4b066a24924239f",NA,"Cores collected Dec 2013-April 2014."
