Source,Site,Core,Habitat_type_intermed,Habitat_type_detailed,Latitude_DMS,Latitude_D,Latitude_M,Latitude_S,Latitude,Longitude_DMS,Longitude_D,Longitude_M,Longitude_S,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,Method_detailed,OC_perc_mean,OC_perc_sd,SOM_perc_mean,SOM_perc_sd
Voltz et al 2021,Canche Estuary,C1-1,Sand flat,"Sand flat with numereous ripple marks, whole and fragmented carbonate mollusc shells",50° 32' 05'',50,32,5,50.534722,1° 36' 25'',1.0,36.0,25.0,1.606944,direct from dataset,France,2018,0,0.01,EA,EA for TOC% (with carbonate corrections) and LOI for SOM%,0.03,0,0.7,0.1
Voltz et al 2021,Canche Estuary,C1-2,Mud flat,Mud flat with biofilm patches at sediment surface just below a small cliff ,50° 32' 05'',50.0,32.0,5.0,50.534722,1° 36' 26'',1.0,36.0,26.0,1.607222,direct from dataset,France,2018,0,0.01,EA,EA for TOC% (with carbonate corrections) and LOI for SOM%,1.34,0.39,5.8,0.9
Voltz et al 2021,Canche Estuary,C1-3,Mud flat,Mud flat with numerous biofilm patches at the sediment surface,50° 32' 06'',50,32,6,50.535000,1° 36' 26'',1,36,26,1.607222,direct from dataset,France,2018,0,0.01,EA,EA for TOC% (with carbonate corrections) and LOI for SOM%,1.7,0.17,9.8,2.4
Voltz et al 2021,Canche Estuary,C1-4,High salt,High salt marsh with sparse P. maritima stands next to a hunting pound ,50° 32' 08'',50,32,8,50.535556,1° 36' 31'',1,36,31,1.608611,direct from dataset,France,2018,0,0.01,EA,EA for TOC% (with carbonate corrections) and LOI for SOM%,2.06,0.29,9.1,1.5
Voltz et al 2021,Canche Estuary,C1-5,High salt,High salt marsh with dense H. portulacoidesstands,50° 32' 12'',50,32,12,50.536667,1° 36' 39'',1,36,39,1.610833,direct from dataset,France,2018,0,0.01,EA,EA for TOC% (with carbonate corrections) and LOI for SOM%,3.76,0.17,12.2,1.4
Voltz et al 2021,Canche Estuary,C2-1,Sand flat,"Sand flat with numereous ripple marks, whole and fragmented carbonate mollusc shells ",50° 31' 55'',50,31,55,50.531944,1° 36' 38'',1,36,38,1.610556,direct from dataset,France,2018,0,0.01,EA,EA for TOC% (with carbonate corrections) and LOI for SOM%,0.04,0.02,1,0.6
Voltz et al 2021,Canche Estuary,C2-2,Mud flat,Mud flat with few biofilm patches at the sediment surface just above a small cliff ,50° 31' 56'',50,31,56,50.532222,1° 36' 39'' ,1,36,39,1.610833,direct from dataset,France,2018,0,0.01,EA,EA for TOC% (with carbonate corrections) and LOI for SOM%,1.33,0.05,7,0.2
Voltz et al 2021,Canche Estuary,C2-3,Low salt,Low salt marsh with S. anglica stands and V. frigida patches,50° 31' 56'',50,31,56,50.532222,1° 36' 39'',1,36,39,1.610833,direct from dataset,France,2018,0,0.01,EA,EA for TOC% (with carbonate corrections) and LOI for SOM%,1.53,0.05,6.6,0.6
Voltz et al 2021,Canche Estuary,C2-4,High salt,High salt marsh with sparse H. portulacoides and P. martima stands next to a hunting pond ,50° 31' 58'',50,31,58,50.532778,1° 36' 43'',1,36,43,1.611944,direct from dataset,France,2018,0,0.01,EA,EA for TOC% (with carbonate corrections) and LOI for SOM%,3.87,0.03,12.7,1.1
Voltz et al 2021,Canche Estuary,C3-1,Sand flat,Sand flat with numereous ripple marks and fine-grained deposits in the troughs,50° 31' 46'',50,31,46,50.529444,1° 36' 51'',1,36,51,1.614167,direct from dataset,France,2018,0,0.01,EA,EA for TOC% (with carbonate corrections) and LOI for SOM%,0.26,0.05,2.1,0.5
