"[Abbreviations:  ID, identification; WGS84, World Geodetic System 1984; m, meter; NAD83, North American Datum of 1983; NAVD88, North American Vertical Datum of 1988; °C, degree Celsius; mmHg, millimeter of mercury; %, percent; mg/L, milligrams per liter; mS/cm, millisiemens per centimeter; mV, millivolt; <, less than; --, no data]",,,,,,,,,,,,,,,,,,,,,,,,
Site Location,,,,,,,,,,,,,Core Length,,,Water Quality Parameters,,,,,,,,
Site ID,"Date
Collected",Site Description,Type of Samples Collected,Latitude (WGS84),Longitude (WGS84),Latitude (NAD83),Longitude (NAD83),Horizontal Standard Deviation (m),"Orthometric Height (m, NAVD88, 
GEOID 12A)","Cumulative Height 
Error (m)","Water Depth
(m)",,"Recovered
Core Length
(cm)","Vibracore
Compaction During Coring
(cm)",,"Temperature 
(°C)","Barometric Pressure 
(mmHg)","Dissolved Oxygen 
(%)","Dissolved Oxygen 
(mg/L)","Specific Conductance 
(mS/cm)",Salinity,pH,"pH 
(mV)","Oxidation-Reduction
Potential 
(mV)"
16CCT03-GB34,05/17/2016,Marsh,"M, S",30.36067,-88.41555,30.36066,-88.41555,0.007,0.283,0.044,0.08-0.10,,30.0,--,,23.3,762.2,35.4,2.7,30.2,18.76,6.79,5.1,-59.0
16CCT03-GB230 & -GB242,05/15/2016,Estuarine,"G, M",30.38188,-88.41036,30.38187,-88.41038,0.007,-1.081,0.040,1.0,,51.0,--,,26.0,765.5,106.6,7.82,29.13,17.96,7.76,-51.3,22.7
16CCT03-GB231,05/15/2016,Estuarine,"G, M",30.38523,-88.40718,30.38523,-88.40721,0.007,-0.602,0.035,0.5,,46.0,--,,25.8,765.7,102.0,7.49,29.42,18.16,7.90,-59.3,28.0
16CCT03-GB232,05/15/2016,Estuarine,"G, M",30.37852,-88.40553,30.37847,-88.40550,0.008,-1.126,0.044,1.2,,(A) 33.0 / (B) 25.5,--,,26.5,765.4,106.7,7.71,29.25,18.03,7.77,-51.8,49.6
16CCT03-GB233,05/14/2016,Estuarine,"G, M",30.37274,-88.39030,--,--,--,--,--,2.1,,27.5,--,,28.0,762.3,112.5,7.94,29.50,18.18,7.99,-65.0,90.1
16CCT03-GB234,05/15/2016,Estuarine,"G, M",30.38269,-88.39236,30.38266,-88.39236,0.005,-0.755,0.030,0.6,,88.0,--,,24.8,766.0,97.0,7.25,29.51,18.24,7.81,-58.3,18.1
16CCT03-GB235,05/14/2016,Estuarine,"G, M",30.38826,-88.39141,--,--,--,--,--,1.0,,22.0,--,,26.1,764.6,88.8,6.46,29.47,18.19,7.78,-52.5,31.8
16CCT03-GB236,05/14/2016,Estuarine,"G, M",30.39025,-88.37956,--,--,--,--,--,0.9,,39.0,--,,27.4,764.3,101.1,7.20,29.69,18.31,7.88,-58.5,30.9
16CCT03-GB237 & -GB241,05/14/2016,Estuarine,"G, M",30.39351,-88.36821,--,--,--,--,--,1.1,,32.0,--,,27.8,763.8,106.1,7.53,29.78,18.37,7.81,-54.3,73.0
16CCT03-GB238,05/14/2016,Estuarine,"G, M",30.39063,-88.35184,--,--,--,--,--,2.5,,--,--,,27.7,763.0,110.7,7.87,29.77,18.36,8.04,-79.9,73.0
16CCT03-GB239,05/15/2016,Estuarine,"G, M",30.37759,-88.35566,30.37758,-88.35566,0.007,-2.307,0.042,2.5,,41.5,--,,26.7,765.1,114.4,8.25,30.06,18.58,8.05,-68.2,90.8
16CCT03-GB240 & -GB243,05/15/2016,Estuarine,"G, M",30.36283,-88.33422,--,--,--,--,--,3.3,,24.5,--,,26.3,764.7,115.4,8.27,31.82,19.79,8.12,-72.3,98.5
16CCT03-GB244,05/16/2016,Estuarine,"G, M",30.38129,-88.39472,30.38127,-88.39474,0.005,-0.753,0.030,0.9,,31.0,--,,24.6,765.2,92.6,6.94,29.67,18.35,8.00,-65.0,54.2
16CCT03-GB245,05/17/2016,Estuarine,"G, M",30.38799,-88.41109,30.38796,-88.41108,0.007,-2.439,0.039,2.6,,27.5,--,,23.3,--,72.5,5.6,29.26,18.09,--,-2.5,61.5
16CCT03-GB250,05/15/2016,Estuarine,"G, V",30.38371,-88.40540,30.38368,-88.40531,0.007,-0.912,0.039,1.2,,219.0,0.0,,25.9,--,92.5,6.5,29.19,18.01,--,-13.8,59.7
16CCT03-GB251,05/15/2016,Estuarine,"G, V",30.37629,-88.40206,30.37628,-88.40199,0.007,-1.376,0.040,1.6,,165.0,6.0,,25.1,--,100.0,8.2,29.08,17.95,--,-12.8,57.8
16CCT03-GB252,05/15/2016,Estuarine,"G, V",30.37374,-88.39156,30.37369,-88.39159,0.008,-1.942,0.033,2.0,,304.5,44.0,,24.3,--,--,8.9,29.06,17.95,--,7.0,63.7
16CCT03-GB253,05/16/2016,Estuarine,"G, V",30.38793,-88.39883,30.38792,-88.39884,0.004,-0.886,0.033,1.2,,263.0,32.0,,23.1,764.4,91.7,7.1,28.89,17.84,10.16,-6.1,53.1
16CCT03-GB254M,05/16/2016,Estuarine,"G, M",30.38192,-88.39380,30.38193,-88.39381,0.006,-0.687,0.040,0.7,,46.0,--,,24.2,765.4,96.0,7.2,29.83,18.46,8.01,-65.5,83.3
16CCT03-GB254V,05/17/2016,Estuarine,"G, V",30.38193,-88.39389,30.38193,-88.39389,0.005,-0.711,0.032,1.1,,266.0,4.0,,22.9,--,161.0,12.2,29.85,18.50,--,-6.7,54.2
16CCT03-GB255,05/14/2016,Estuarine,V,30.36433,-88.37520,--,--,--,--,--,1.4,,261.0,13.0,,25.2,--,80.7,6.0,29.87,18.48,--,2.4,12.0
16CCT03-GB256,05/15/2016,Estuarine,"G, V",30.35831,-88.37569,30.35827,-88.37564,0.006,-2.381,0.039,2.5,,397.5,7.0,,24.6,--,89.2,6.6,31.93,19.90,--,-3.8,76.5
