study_id,site_id,plot_id,longitude,latitude,position_method,position_notes,elevation,elevation_method,elevation_notes,harvest_or_allometry,genus,species,above_or_belowground,mass,mass_n,allometric_eq_present,plant_measurements_present
Gillen_et_al_2018,Goodwin_Edge,GIE-1,-76.4031726575,37.2212703175,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12432499999999999,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,48.8,16,no,no
Gillen_et_al_2018,Goodwin_Edge,GIE-2,-76.4031726575,37.2212703175,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12432499999999999,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,33.8,22,no,no
Gillen_et_al_2018,Goodwin_Edge,GIE-3,-76.4031726575,37.2212703175,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12432499999999999,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,25.3,36,no,no
Gillen_et_al_2018,Goodwin_Interior,GII-1,-76.403338795,37.2212299175,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.318225,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,22.8,94,no,no
Gillen_et_al_2018,Goodwin_Interior,GII-2,-76.403338795,37.2212299175,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.318225,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,30.3,78,no,no
Gillen_et_al_2018,Goodwin_Interior,GII-3,-76.403338795,37.2212299175,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.318225,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,33.8,85,no,no
Gillen_et_al_2018,Catlett_Edge,CIE-1,-76.55358818,37.2964782575,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.156,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,48.9,25,no,no
Gillen_et_al_2018,Catlett_Edge,CIE-2,-76.55358818,37.2964782575,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.156,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,39.2,31,no,no
Gillen_et_al_2018,Catlett_Edge,CIE-3,-76.55358818,37.2964782575,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.156,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,30.6,26,no,no
Gillen_et_al_2018,Catlett_Interior,CII-1,-76.553452898,37.29629,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.268,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,18.7,38,no,no
Gillen_et_al_2018,Catlett_Interior,CII-2,-76.553452898,37.29629,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.268,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,31.3,24,no,no
Gillen_et_al_2018,Catlett_Interior,CII-3,-76.553452898,37.29629,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.268,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,16.9,29,no,no
Gillen_et_al_2018,Taskinas_Edge,TCE-1,-76.715459514,37.41529597,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.3267,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,94.8,9,no,no
Gillen_et_al_2018,Taskinas_Edge,TCE-2,-76.715459514,37.41529597,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.3267,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,100.2,9,no,no
Gillen_et_al_2018,Taskinas_Edge,TCE-3,-76.715459514,37.41529597,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.3267,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,90.1,7,no,no
Gillen_et_al_2018,Taskinas_Interior,TCI-1,-76.715440864,37.41543054,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,24.7,30,no,no
Gillen_et_al_2018,Taskinas_Interior,TCI-1,-76.715440864,37.41543054,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Distichlis,spicata,above,0.8,5,no,no
Gillen_et_al_2018,Taskinas_Interior,TCI-1,-76.715440864,37.41543054,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,patens,above,1.2,20,no,no
Gillen_et_al_2018,Taskinas_Interior,TCI-2,-76.715440864,37.41543054,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,44.6,42,no,no
Gillen_et_al_2018,Taskinas_Interior,TCI-2,-76.715440864,37.41543054,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Distichlis,spicata,above,0.01,1,no,no
Gillen_et_al_2018,Taskinas_Interior,TCI-3,-76.715440864,37.41543054,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Spartina,alterniflora,above,22,44,no,no
Gillen_et_al_2018,Taskinas_Interior,TCI-3,-76.715440864,37.41543054,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Distichlis,spicata,above,0.1,2,no,no
Gillen_et_al_2018,SweetHall_Edge,SHE-1,-76.883882626,37.565863588,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Zizania,aquatica,above,0.5,1,no,no
Gillen_et_al_2018,SweetHall_Edge,SHE-1,-76.883882626,37.565863588,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Polygonum,species,above,1.4,1,no,no
Gillen_et_al_2018,SweetHall_Edge,SHE-1,-76.883882626,37.565863588,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Plantago,virginica,above,17.4,5,no,no
Gillen_et_al_2018,SweetHall_Edge,SHE-2,-76.883882626,37.565863588,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Zizania,aquatica,above,16,1,no,no
Gillen_et_al_2018,SweetHall_Edge,SHE-2,-76.883882626,37.565863588,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Plantago,virginica,above,51.5,8,no,no
Gillen_et_al_2018,SweetHall_Edge,SHE-3,-76.883882626,37.565863588,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Plantago,virginica,above,76.5,20,no,no
Gillen_et_al_2018,SweetHall_Interior,SHI-1,-76.884004016,37.565869434,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Plantago,virginica,above,23.5,10,no,no
Gillen_et_al_2018,SweetHall_Interior,SHI-2,-76.884004016,37.565869434,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Zizania,aquatica,above,70.1,5,no,no
Gillen_et_al_2018,SweetHall_Interior,SHI-2,-76.884004016,37.565869434,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Plantago,virginica,above,30,6,no,no
