study_id,site_id,plot_id,plot_center_latitude,plot_center_longitude,position_notes,elevation,elevation_method,elevation_notes,habitat,plant_plot_detail_present,soil_core_present
Gillen_et_al_2018,Goodwin_Edge,GIE-1,37.2212703175,-76.4031726575,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12432499999999999,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Goodwin_Edge,GIE-2,37.2212703175,-76.4031726575,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12432499999999999,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Goodwin_Edge,GIE-3,37.2212703175,-76.4031726575,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12432499999999999,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Goodwin_Interior,GII-1,37.2212299175,-76.403338795,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.318225,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Goodwin_Interior,GII-2,37.2212299175,-76.403338795,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.318225,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Goodwin_Interior,GII-3,37.2212299175,-76.403338795,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.318225,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Catlett_Edge,CIE-1,37.2964782575,-76.55358818,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.156,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Catlett_Edge,CIE-2,37.2964782575,-76.55358818,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.156,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Catlett_Edge,CIE-3,37.2964782575,-76.55358818,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.156,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Catlett_Interior,CII-1,37.29629,-76.553452898,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.268,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Catlett_Interior,CII-2,37.29629,-76.553452898,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.268,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Catlett_Interior,CII-3,37.29629,-76.553452898,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.268,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
