study_id,site_id,core_id,year,latitude,longitude,position_accuracy,position_method,elevation,elevation_datum,elevation_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
Rodriguez_et_al_2022,JB,JB_1,2018,35.23299236791269,-76.53350857236599,<.01,RTK,0.21,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,JB,JB_5,2018,35.23339840902408,-76.53348324952209,<.01,RTK,0.09,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,JB,JB_6,2018,35.2339300872102,-76.53350424641911,<.01,RTK,0.09,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,JB,JB_7,2018,35.23425319370825,-76.53362021655815,<.01,RTK,0.07,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,JB,JB_8,2018,35.23453164850912,-76.53370238050668,<.01,RTK,0.03,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,LB,LB_3,2019,34.94528799971974,-76.43210940580278,<.01,RTK,0.22,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,LB,LB_5,2019,34.94406060026792,-76.43144200640181,<.01,RTK,0.17,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,LB,LB_6,2019,34.94336145269209,-76.43109040453199,<.01,RTK,0.19,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,LB,LB_7,2019,34.942966224510045,-76.43096308733712,<.01,RTK,0.23,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,LB,LB_8,2019,34.94264285585759,-76.43085891967915,<.01,RTK,0.24,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,LB,LB_9,2019,34.942301715579895,-76.43073254446341,<.01,RTK,0.24,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,NB,NB_1,2018,34.86958996494203,-76.40849926414562,<.01,RTK,0.21,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,NB,NB_9,2018,34.86967605827695,-76.40885081995927,<.01,RTK,0.11,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,NB,NB_3b,2018,34.869753008888196,-76.40921316071439,<.01,RTK,0.19,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,NPR_U,NPR_U_1,2019,34.75439828860939,-76.77798960512422,<.01,RTK,0.53,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,NPR_U,NPR_U_5,2019,34.7546067144751,-76.77791760358716,<.01,RTK,0.45,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,high,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,NPR_D,NPR_D_8,2018,34.75660143757188,-76.73654507778419,<.01,RTK,0.17,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,NPR_D,NPR_D_14,2018,34.75643594180295,-76.73613739966055,<.01,RTK,0.32,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,NPR_D,NPR_D_16,2018,34.756401133196356,-76.73604927364836,<.01,RTK,0.39,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,SRE_U,SRE_U_1,2019,33.954161754478285,-78.36339565442991,<.01,RTK,0.5,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,SRE_U,SRE_U_6,2019,33.9545749996937,-78.36290688457075,<.01,RTK,0.18,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
Rodriguez_et_al_2022,SRE_D,SRE_D_1,2018,33.93540566694162,-78.36867928957663,<.01,RTK,-0.23,"NAVD88",RTK,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
