Core Number,Section bottom depth from surface (cm),section thickness,section radius,Wet weight,Dry weight*(~2.57 is weight of Al boat),Bulk Density (g/cm3),Notes,Water Content (wt. %),Total Carbon (%),Organic Carbon (%),site_id
1,3,3,5,80.37,14.92,0.127,some org,81.44,35.39,34.71,Wardlaw Shallow Managed
1,6,3,5,96.28,30.86,0.262,some org,67.95,17.95,17.8,Wardlaw Shallow Managed
1,9,3,5,130.6,53.16,0.451,clay with roots mat,59.3,13.89,13.21,Wardlaw Shallow Managed
1,12,3,5,106.44,45.53,0.386,clay with roots mat,57.22,13.37,13.19,Wardlaw Shallow Managed
1,15,3,5,139.45,59.58,0.506,clay with roots mat,57.28,11.6,9.81,Wardlaw Shallow Managed
1,19,4,5,219.51,104.01,0.662,clay with roots mat,52.62,5.83,5.85,Wardlaw Shallow Managed
2,2,2,5,10.84,2.42,0.030812423,very organic,77.67527675,44.08,43.92,Wardlaw Shallow Managed
2,4,2,5,26.55,4.8,0.06111555,very organic,81.92090395,43.82,43.66,Wardlaw Shallow Managed
2,6,2,5,58.64,11.44,0.145658727,crumbly ,80.49113233,36.89,36.06,Wardlaw Shallow Managed
2,8,2,5,52.48,13.6,0.173160724,"still lots of veg but smaller pieces, crumbly",74.08536585,26.92,26.64,Wardlaw Shallow Managed
2,10,2,5,87.29,33.16,0.42220659,more decomposed and more clay presence,62.01168519,14.64,14.51,Wardlaw Shallow Managed
2,12,2,5,83.38,39.59,0.504075962,clay holds together some,52.51858959,9.47,8.97,Wardlaw Shallow Managed
2,14,2,5,126.69,61.99,0.78928186,more clay holds together,51.06953982,8.72,8.31,Wardlaw Shallow Managed
2,~16,2,,137.68,66.77,0.850142762,lots of clay but still breaks apart,51.50348635,9.33,9.25,Wardlaw Shallow Managed
2,3,3,5,64.02,11.76,0.099822065,some org,81.63074039,30.95,30.16,Wardlaw II New Field
2,6,3,5,95.68,22.19,0.188354729,some org,76.80811037,28.46,28.21,Wardlaw II New Field
2,9,3,5,107.19,27.57,0.234021626,clay,74.2793171,21.74,21.04,Wardlaw II New Field
2,12,3,5,143.87,46.87,0.397845252,clay,67.42197817,13.57,13.54,Wardlaw II New Field
2,15,3,5,145.92,51.41,0.436382002,clay,64.76836623,12.35,10.12,Wardlaw II New Field
2,18,3,5,136.68,54.63,0.463714234,clay,60.03072871,8.32,7.3,Wardlaw II New Field
2,21,3,5,123.49,48.59,0.412445078,clay,60.65268443,7.75,6.75,Wardlaw II New Field
2,24,3,5,128.1,48.88,0.414906677,clay,61.84231069,8.42,7.5,Wardlaw II New Field
2,27,3,5,142.64,63.69,0.540617967,clay,55.34913068,4.18,4.12,Wardlaw II New Field
2,31,4,5,250.05,108.11,0.688250217,clay,56.76464707,4.51,4.6,Wardlaw II New Field
1,2,2,5,46.13,8.67,0.110389962,dark brown crumbly,81.2052894,33.84,33.55,Wardlaw II New Field
1,4,2,5,64.16,12.54,0.159664374,lots of veg,80.45511222,30.89,30.02,Wardlaw II New Field
1,6,2,5,61.76,12.31,0.15673592,very crumbly and decomposed,80.06800518,30.96,30.91,Wardlaw II New Field
1,8,2,5,72.19,14.28,0.181818761,very crumbly and decomposed,80.21886688,27.83,16.42,Wardlaw II New Field
1,10,2,5,69.79,13.67,0.174051993,a little clay starting,80.41266657,26.17,24.88,Wardlaw II New Field
1,12,2,5,98.22,22.03,0.280494909,"some clay and lots of decom veg, a bit larger width here to correct",77.57075952,20.26,20.06,Wardlaw II New Field
1,14,2,5,79.96,20.22,0.257449253,some clay with veg,74.71235618,17.94,13.62,Wardlaw II New Field
1,16,2,5,79.23,20.33,0.258849818,some large pieces of veg and clay,74.34052758,12.78,12.43,Wardlaw II New Field
1,18,2,5,72.94,17.07,0.217342174,lots of clay sticks well together,76.59720318,15.64,13.98,Wardlaw II New Field
1,20,2,5,89.51,24.97,0.317928183,clay! With veg pieces,72.10367557,11.13,10.77,Wardlaw II New Field
1,22,2,5,95.52,26.43,0.336517496,clay with chunks of veg,72.33040201,12.21,11.69,Wardlaw II New Field
1,24,2,5,85.57,26.11,0.332443126,lots of veg with clay,69.48696973,10.17,9.91,Wardlaw II New Field
1,26,2,5,98.84,33.24,0.423225182,brownish gray clay,66.36989073,8.27,7.7,Wardlaw II New Field
1,28,2,5,102.91,39.3,0.500383564,,61.81129142,6.19,5.83,Wardlaw II New Field
1,29.5,1.5,5,72.13,27.11,0.460234043,"brown, gray clay",62.41508388,6.28,6.26,Wardlaw II New Field
2,3,3,5,40.06,1.77,0.015024239,"gushy, lots of plant material",95.58162756,40.77,39.15,Sandy Island Deeply Flooded
2,6,3,5,31.78,1.75,0.014854474,"gushy, lots of plant material",94.49339207,39.93,40.01,Sandy Island Deeply Flooded
2,9,3,5,46.98,2.59,0.021984621,"gushy, lots of plant material",94.48701575,39.63,39.38,Sandy Island Deeply Flooded
2,12,3,5,35.66,2.52,0.021390442,"gushy, lots of plant material",92.93325855,38.19,38.12,Sandy Island Deeply Flooded
2,15,3,5,61.63,5.26,0.044648304,plants and silt,91.46519552,33.98,31.74,Sandy Island Deeply Flooded
2,18,3,5,84.31,9.38,0.07961998,more silt,88.87439212,24.01,21.96,Sandy Island Deeply Flooded
2,21,3,5,100.11,14.05,0.119260205,"much easier cutting, plants and silt",85.96543802,21.57,21.6,Sandy Island Deeply Flooded
2,24,3,5,109.77,21.32,0.180969933,"a bit paler brown, firmer",80.57757129,15.49,15.05,Sandy Island Deeply Flooded
2,27,3,5,114.58,26.97,0.228928664,muddy brown clay,76.46186071,11.56,10.93,Sandy Island Deeply Flooded
2,30,3,5,110.38,29.96,0.254308593,firm,72.8574017,8.92,8.8,Sandy Island Deeply Flooded
2,33,3,5,116.03,35.38,0.300315021,some veg,69.50788589,7.78,7.72,Sandy Island Deeply Flooded
2,36,3,5,115.28,35.02,0.297259243,,69.62179042,6.83,6.18,Sandy Island Deeply Flooded
2,39,3,5,121.25,34.8,0.295391824,,71.29896907,7.85,7.78,Sandy Island Deeply Flooded
2,42,3,5,126.86,33.48,0.284187306,,73.60870251,8.66,8.31,Sandy Island Deeply Flooded
2,45,3,5,113.45,30.87,0.26203292,some veg roots,72.78977523,7.59,7.53,Sandy Island Deeply Flooded
2,48,3,5,144.2,41.46,0.351923707,darker brown clayey with roots,71.2482663,7.96,7.75,Sandy Island Deeply Flooded
2,51,3,5,142.38,46.86,0.39776037,darker brown clayey with roots,67.08807417,6.81,6.24,Sandy Island Deeply Flooded
2,54,3,5,146.64,49.38,0.419150812,darker brown clayey with roots,66.32569558,6.19,6.12,Sandy Island Deeply Flooded
2,57,3,5,153.32,54.58,0.46328982,darker brown clayey with roots,64.40125228,6.64,6.36,Sandy Island Deeply Flooded
2,60,3,5,163.07,64.42,0.546814405,darker brown clayey with roots,60.49549273,4.74,4.61,Sandy Island Deeply Flooded
2,63,3,5,134.71,61.67,0.52347166,black sluff like material starts here mixed in with clayey mud,54.22017668,5.78,5.71,Sandy Island Deeply Flooded
2,65,2,5,133.21,50.73,0.645914967,,61.91727348,6.47,6.17,Sandy Island Deeply Flooded
1,3,3,wrong because filled with water,31.09,1.86,0.015788184,"forgot to take pix until cut first section; very, very wet with water pouring all over counter; dark with lots of plants",94.01736893,41.08,41.14,Sandy Island Deeply Flooded
1,6,3,wrong because filled with water,55.75,3.29,0.027926411,very wet with lots of veg and roots and decomposed veg,94.09865471,37.29,37.09,Sandy Island Deeply Flooded
1,9,3,wrong because filled with water,37.67,2.49,0.021135794,very wet with lots of veg and roots and decomposed veg,93.38996549,39.6,39.81,Sandy Island Deeply Flooded
1,12,3,wrong because filled with water,39.25,2.31,0.019607906,"very wet with lots of veg, roots, and decomposed veg",94.11464968,39.82,39.01,Sandy Island Deeply Flooded
1,15,3,getting close to filling tube,41.3,2.47,0.020966029,almost filling whole core,94.01937046,39.22,35.93,Sandy Island Deeply Flooded
1,18,3,getting close to filling tube,53.62,3.94,0.033443787,lots of veg watery and dark,92.65199552,38.34,36.81,Sandy Island Deeply Flooded
1,21,3,almost 5 cm,72.35,5.41,0.045921545,material is starting to hold together ,92.52246026,34.8,33.82,Sandy Island Deeply Flooded
1,24,3,5,102.76,13.75,0.116713724,"less dark brown, holds together more",86.61930712,23.68,23.36,Sandy Island Deeply Flooded
1,27,3,5,103.81,15.86,0.134623975,"holds together, much smaller veg.",84.72208843,19.79,18.94,Sandy Island Deeply Flooded
1,30,3,5,104.92,22.64,0.192174451,"more mud, holds together, a little clay",78.42165459,11.7,11.6,Sandy Island Deeply Flooded
1,33,3,5,127.82,27.53,0.233682095,"sticks together, more clay, small roots",78.46189955,11.94,11.13,Sandy Island Deeply Flooded
1,36,3,5,134.01,31.14,0.264324753,"sticks together well, little roots",76.76292814,10.39,10.21,Sandy Island Deeply Flooded
1,39,3,5,141.35,31.46,0.267040999,"sticks together well, little roots",77.74319066,,,Sandy Island Deeply Flooded
1,42,3,5,115.45,24.92,0.211527708,"consolidating, clay, tiny roots",78.41489822,10.08,10.01,Sandy Island Deeply Flooded
1,45,3,5,125.72,28.02,0.237841348,"consolidating, clay, tiny roots",77.71237671,10.23,10,Sandy Island Deeply Flooded
1,48,3,5,133.22,37.9,0.321705463,"consolidating, clay, tiny roots",71.5508182,7.3,6.45,Sandy Island Deeply Flooded
1,51,3,5,142.69,33.48,0.284187306,"clay tolds together very well, lighter color",76.53654776,8.14,8.27,Sandy Island Deeply Flooded
1,54,3,5,132.98,32.51,0.275953684,"lighter color brown, clayey",75.55271469,8.89,8.72,Sandy Island Deeply Flooded
1,57,3,5,133.3,29.55,0.250828402,medium brown with dark parts around roots,77.83195799,9.89,9.63,Sandy Island Deeply Flooded
1,60,3,5,141.63,37,0.31406602,"some light colored roots firm, holds together",73.87559133,7.89,0.01,Sandy Island Deeply Flooded
1,63,3,5,136.73,42.66,0.362109632,solid clayey with some roots,68.79982447,5.59,5.55,Sandy Island Deeply Flooded
1,66,3,5,145.19,46.73,0.396656895,solid clayey with some roots,67.81458778,5.64,5.53,Sandy Island Deeply Flooded
1,69,3,5,144.96,46.22,0.392327876,solid clayey with some roots,68.11534216,5.63,5.95,Sandy Island Deeply Flooded
1,72,3,5,162.45,56.54,0.479926831,solid clayey with some roots,65.19544475,5.15,5.02,Sandy Island Deeply Flooded
1,75,3,5,157.7,54.52,0.462780524,black organic soft areas within brown clay,65.4280279,7.6,7.09,Sandy Island Deeply Flooded
1,78,3,5,137.03,35.95,0.305153335,black organic soft areas within brown clay,73.76486901,14.26,14.33,Sandy Island Deeply Flooded
1,81,3,5,124.39,29.97,0.254393476,lots of black areas within brown clayey core,75.90642335,25.04,24.47,Sandy Island Deeply Flooded
1,~84,~3,5,140.98,32.71,0.277651338,black softer and organic --lots here seems like slough?,76.79812739,23.74,22.08,Sandy Island Deeply Flooded
2,2,2,5,54.84,10.9,0.138783228,very dry roots and mud and clay,80.12399708,22.77,22.63,Hasty Point Managed Shallow
2,4,2,5,79.95,28.14,0.358289911,already a bit crumbly,64.80300188,11.96,11.37,Hasty Point Managed Shallow
2,6,2,5,100.02,44.09,0.561371789,"few roots, clayey",55.91881624,7.25,6.88,Hasty Point Managed Shallow
2,8,2,5,80.37,36.65,0.466642687,sticky,54.39840737,7.49,7.04,Hasty Point Managed Shallow
2,10,2,5,128.89,64.86,0.825823866,"sticky clay, few oxydized rhyzospheres, crumbly",49.67802002,5.82,5.81,Hasty Point Managed Shallow
2,12,2,5,99.84,53.28,0.678382602,"lots of ox. Rhy., holds together",46.63461538,4.55,4.58,Hasty Point Managed Shallow
2,14,2,5,109.9,58.19,0.740898717,holds together really well lots of clay,47.05186533,5.07,4.85,Hasty Point Managed Shallow
2,16,2,5,118.66,65.27,0.831044153,"hard, still ox. Rhyz.",44.99410079,6.73,6.7,Hasty Point Managed Shallow
2,18,2,5,115.26,63.11,0.803542155,"lots of ox. Rhyz., crumbly, very dry clay",45.24553184,7.04,7.02,Hasty Point Managed Shallow
2,20,2,5,88.73,46.7,0.59460337,"less ox. Rhyz., clumpy clay",47.36842105,6.86,6.8,Hasty Point Managed Shallow
2,22,2,5,126.35,67.26,0.856381641,"again lots of oxy. Rhyz., clay",46.76691729,7.18,7.08,Hasty Point Managed Shallow
2,24,2,5,102.82,52.56,0.66921527,still some oxy. Rhyz.,48.88154056,8.37,7.84,Hasty Point Managed Shallow
2,25,2,5,81.97,41.92,0.711656624,a few oxy. Rhyz.,48.85933878,7.66,7.59,Hasty Point Managed Shallow
1,2,2,5,16.78,4.06,0.051693569,"all plant material, litter",75.8045292,30.05,27.01,Hasty Point Managed Shallow
1,4,2,5,49.77,11.68,0.148714504,lots of veg,76.53204742,22.64,22.29,Hasty Point Managed Shallow
1,6,2,5,73.81,25.51,0.324803682,clay already present,65.43828749,13.67,13.54,Hasty Point Managed Shallow
1,8,2,5,100.69,49.06,0.624651848,very clayey,51.27619426,5.82,5.89,Hasty Point Managed Shallow
1,10,2,5,99.32,48.88,0.622360015,"dark clumpy, oxid. Rhyz.--a few, sticks to tube",50.78534031,5.32,5.25,Hasty Point Managed Shallow
1,12,2,5,94.12,47.68,0.607081128,very dry,49.34126647,5.06,4.98,Hasty Point Managed Shallow
1,14,2,5,102.22,55.17,0.70244685,dry with oxy. Rhyz.,46.02817453,3.64,3.49,Hasty Point Managed Shallow
1,16,2,5,119.96,62.96,0.801632294,dry with oxy. Rhyz.,47.51583861,5.57,5.59,Hasty Point Managed Shallow
1,18,2,5,122.18,63.43,0.807616525,dry with some decomposed roots,48.08479293,6.72,6.61,Hasty Point Managed Shallow
