study_id,method_id,coring_method,roots_flag,sediment_sieved_flag,sediment_sieve_size,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_time,dry_bulk_density_sample_volume,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,loss_on_ignition_sample_volume,loss_on_ignition_sample_mass,loss_on_ignition_flag,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type,carbon_profile_notes,cs137_counting_method,pb210_counting_method,excess_pb210_rate,excess_pb210_model,ra226_assumption,c14_counting_method,dating_notes,age_depth_model_reference,age_depth_model_notes,ground_or_sieved_flag,pb210_background_assumption
Weston_et_al_2023,single set of methods,push core,roots and rhizomes included,sediment not sieved,NA,compaction quantified,80,48,NA,not specified,500,4,NA,NA,NA,NA,NA,NA,NA,NA,10.2 cm inner diameter pvc pipe driven to depth,gamma,gamma,NA,NA,NA,NA,CRC model used to determine age-dependent rates of soil accretion for each section of soil cores. CIC model used to calculate a whole-core accretion rate using Pb210 activities.,NA,NA,NA,NA
Weis_et_al_2001,single set of methods,hargas corer,NA,NA,NA,NA,95,24,NA,NA,550,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Watson_and_Byrne_2013,single set of methods,russian corer,NA,NA,NA,NA,104,24,NA,NA,550,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,NA,NA,NA,NA
Ward_et_al_2021,single set of methods,pvc and hammer,roots and rhizomes separated,sediment not sieved,NA,compaction quantified,60,NA,NA,not specified,550,4,NA,10,NA,measured,TRUE,direct acid treatment,Craft regression,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang_et_al_2023,single set of methods,push core,roots and rhizomes separated,sediment not sieved,NA,not specified,60,NA,39.23,to constant mass,550,2,39.23,NA,NA,measured,TRUE,acid fumigation,NA,organic carbon,NA,gamma,gamma,NA,CRS,NA,NA,NA,NA,NA,NA,NA
Vincent_and_Dionne_2023,single set of methods,gouge auger,roots and rhizomes included,sediment not sieved,NA,no obvious compaction,60,72,35.3429,NA,450,3,35.3429,NA,NA,measured,FALSE,carbonates not removed,Craft regression,organic carbon,"A 3-cm diameter Eijkelkamp
gouge auger was used to remove the first 20 cm of soil
at each core location. The gouge auger has an open-face
design that allows it to be inserted without compacting soils.
Each core was visually examined at the time of collection,
and no signs of compaction were observed in any
sample. Cores were cut into four sections, each five
centimeters in length. Core segments were placed in
individual Ziploc bags, stored on ice in coolers, and
transported to the lab for processing. Each core was
placed in individual tins, weighed, and dried at 60 °C
for 3 days to achieve constant weight. Dried cores were
re-weighed to determine bulk density as milligrams per
cubic centimeter. Cores were then combusted in a muffle
oven at 450 °C for 3 h, cooled, and reweighed to
determine organic matter calculated as the proportion of
dry core weight. Carbon storage was calculated as milligrams
carbon per cubic centimeter of soil based on the
equation presented in Craft et al. (1991):
Organic carbon = (0.40)LOI+(0.0025)LOI2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,single set of methods,vibracore,roots and rhizomes included,sediment sieved,NA,no obvious compaction,NA,NA,76.97,freeze dried,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,NA,CRS,each sample,AMS,NA,CE,NA,NA,NA
van_Ardenne_et_al_2018,1,russian corer,roots and rhizomes included,NA,NA,corer limits compaction,60,NA,NA,to constant mass,550,4,NA,NA,NA,modeled,FALSE,none specified,Craft regression,organic carbon,"To determine organic matter, samples were combusted at 350°C for 1h followed by 4h at 550°C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
van_Ardenne_et_al_2018,2,gouge auger,roots and rhizomes included,NA,NA,corer limits compaction,60,NA,NA,to constant mass,550,4,NA,NA,NA,modeled,FALSE,none specified,Craft regression,organic carbon,"To determine organic matter, samples were combusted at 350°C for 1h followed by 4h at 550°C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turck_2014,single set of methods,vibracore,roots and rhizomes included,sediment not sieved,0.063,compaction quantified,NA,NA,NA,NA,1350,NA,NA,NA,not specified,measured,FALSE,carbonates not removed,not specified,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
