study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issn,eprint,article-number
Weston_et_al_2023,Weston_et_al_2023_data,primary dataset,Misc,Dataset: Recent Acceleration of Coastal Wetland Accretion Along the U.S. East Coast,Nathaniel B Weston and Elise Rodriguez and Brian Donnelly and Elena Solohin and Kristen Jezycki and Sandra Demberger and Lori Sutter and James {T. Morris} and Scott C. Neubauer and Christopher B Craft,NA,10.25573/SERC.13043054,https://smithsonian.figshare.com/articles/dataset/Dataset_Recent_Acceleration_of_Coastal_Wetland_Accretion_Along_the_U_S_East_Coast/13043054,2023,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA,NA
Weston_et_al_2023,Weston_et_al_2023_article,primary source,Article,Recent Acceleration of Wetland Accretion and Carbon Accumulation Along the U.S. East Coast,Nathaniel B. Weston and Elise Rodriguez and Brian Donnelly and Elena Solohin and Kristen Jezycki and Sandra Demberger and Lori A. Sutter and James T. Morris and Scott Neubauer and Christopher B. Craft,NA,10.1029/2022EF003037,https://doi.org/10.1029/2022EF003037,2023,NA,NA,NA,NA,NA,Earth's Future,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weis_et_al_2001,Weis_et_al_2001_thesis,associated source,Mastersthesis,Vertical accretion rates and heavy metal chronologies in wetland sediments of Tijuana Estuary,"Weis, Daniel Anthony",San Diego State University,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weis_et_al_2001,Weis_et_al_2001_article,associated source,Article,Vertical Accretion Rates and Heavy Metal Chronologies in Wetland Sediments of the Tijuana Estuary,Daniel A. Weis and John C. Callaway and Richard M. Gersberg,NA,10.2307/1353175,https://doi.org/10.2307/1353175,2001,dec,Springer Science and Business Media {LLC},24,6,840,Estuaries,NA,NA,NA,NA,NA,NA,NA,NA,NA
Watson_and_Byrne_2013,Watson_and_Byrne_2013_article,associated source,Article,"Late Holocene Marsh Expansion in Southern San Francisco Bay, California",Elizabeth Burke Watson and Roger Byrne,NA,10.1007/s12237-013-9598-z,https://doi.org/10.1007/s12237-013-9598-z,2013,feb,Springer Science and Business Media {LLC},36,3,643--653,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ward_et_al_2021,Ward_et_al_2021_data,primary dataset,Misc,"Data from: Organic carbon, grain size, elemental/isotopic composition",Melissa Ward,NA,10.5061/dryad.m0cfxpp31,https://doi.org/10.5061/dryad.m0cfxpp31,2021,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ward_et_al_2021,Ward_et_al_2021_article,associated source,Article,Blue carbon stocks and exchanges along the California coast,M. A. Ward and T. M. Hill and C. Souza and T. Filipczyk and A. M. Ricart and S. Merolla and L. R. Capece and B. C. O'Donnell and K. Elsmore and W. C. Oechel and K. M. Beheshti,NA,10.5194/bg-18-4717-2021,https://bg.copernicus.org/articles/18/4717/2021/,2021,NA,NA,18,16,4717--4732,Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang_et_al_2023,Wang_et_al_2023_data,primary dataset,Misc,Spatial Variability in Vertical Accretion and Carbon Sequestration in Salt Marsh Soils of an Urban Estuary,"Wang, H., Snedden, G., Hartig, E., Chen, Q.",NA,10.1007/s13157-023-01699-y,https://doi.org/10.1007/s13157-023-01699-y,2023,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA
Vaughn_et_al_2020,Vaughn_et_al_2021_data,primary dataset,Misc,{Dataset: Increased Organic Carbon Burial in Northern Florida Mangrove-Salt Marsh Transition Zones},Derrick Vaughn and Thomas Bianchi and Michael Shields and William Kenney and Todd Osborne,NA,10.25573/serc.10552004.v2,https://smithsonian.figshare.com/articles/dataset/Dataset_Increased_Organic_Carbon_Burial_in_Northern_Florida_Mangrove-Salt_Marsh_Transition_Zones/10552004,2021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,Vaughn_et_al_2020_article,associated source,Article,Increased Organic Carbon Burial in Northern Florida Mangrove-Salt Marsh Transition Zones,Derrick R. Vaughn and Thomas S. Bianchi and Michael R. Shields and William F. Kenney and Todd Z. Osborne,NA,10.1029/2019GB006334,https://doi.org/10.1029/2019GB006334,2020,4,NA,NA,NA,NA,Global Biogeochemical Cycles,NA,NA,NA,NA,NA,NA,NA,NA,NA
