study_id,site_id,core_id,core_latitude,core_longitude,core_position_notes,core_elevation,salinity_class,vegetation_class,inundation_class,core_length_flag,core_date,core_notes,core_elevation_datum,core_position_accuracy,vegetation_notes,core_position_method,core_elevation_method,aboveground_stem_length,aboveground_mass
Boyd_2012,Blackbird_Creek_Marsh,BBRC_1,39.375811,-75.651786,latitude and longitude from handheld GPS or better,NA,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC_2,39.378697,-75.643872,latitude and longitude from handheld GPS or better,NA,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Broad_Dyke_Marsh,NCBD_1,39.666314,-75.567868,latitude and longitude from handheld GPS or better,-0.361,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Broad_Dyke_Marsh,NCBD_2,39.66571,-75.559982,latitude and longitude from handheld GPS or better,-0.372,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Broad_Dyke_Marsh,NCBD_3,39.667368,-75.564615,latitude and longitude from handheld GPS or better,-0.483,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Buttonwood_Marsh,NCBW_1,39.676677,-75.554368,latitude and longitude from handheld GPS or better,-0.093,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Buttonwood_Marsh,NCBW_2,39.672176,-75.552823,latitude and longitude from handheld GPS or better,0.064,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Buttonwood_Marsh,NCBW_3,39.674905,-75.552347,latitude and longitude from handheld GPS or better,-0.089,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Gambacorta_Marsh,NCGB_1,39.655706,-75.574378,latitude and longitude from handheld GPS or better,0.319,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Gambacorta_Marsh,NCGB_2,39.656914,-75.570169,latitude and longitude from handheld GPS or better,0.225,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Gambacorta_Marsh,NCGB_3,39.657391,-75.575393,latitude and longitude from handheld GPS or better,0.142,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Little_Creek_Marsh,LC_1,39.145008,-75.423547,latitude and longitude from handheld GPS or better,0.703,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Little_Creek_Marsh,LC_2,39.151014,-75.414794,latitude and longitude from handheld GPS or better,0.668,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Little_Creek_Marsh,LC_3,39.157496,-75.426916,latitude and longitude from handheld GPS or better,0.491,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Lukens_Marsh,NCLM_1,39.687158,-75.544244,latitude and longitude from handheld GPS or better,0.963,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Lukens_Marsh,NCLM_2,39.686761,-75.542156,latitude and longitude from handheld GPS or better,0.989,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Lukens_Marsh,NCLM_3,39.686297,-75.540714,latitude and longitude from handheld GPS or better,0.921,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Pickering_Beach_Marsh,PK_1,39.136889,-75.416706,latitude and longitude from handheld GPS or better,0.871,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Pickering_Beach_Marsh,PK_2,39.137907,-75.412275,latitude and longitude from handheld GPS or better,NA,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Pickering_Beach_Marsh,PK_3,39.133195,-75.41131,latitude and longitude from handheld GPS or better,0.902,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Port_Mahon_Marsh,MH_1,39.172129,-75.415222,latitude and longitude from handheld GPS or better,0.437,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Port_Mahon_Marsh,MH_2,39.162247,-75.420234,latitude and longitude from handheld GPS or better,0.491,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Port_Mahon_Marsh,MH_3,39.162596,-75.427651,latitude and longitude from handheld GPS or better,0.703,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Rivers_Edge_Marsh,NCRE_1,39.639179,-75.604275,latitude and longitude from handheld GPS or better,0.877,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Rivers_Edge_Marsh,NCRE_2,39.638171,-75.601251,latitude and longitude from handheld GPS or better,0.898,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Rivers_Edge_Marsh,NCRE_3,39.638604,-75.599228,latitude and longitude from handheld GPS or better,0.946,brackish,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Ted_Harvey_Conservation_Area,TH_1,39.074915,-75.416785,latitude and longitude from handheld GPS or better,NA,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Ted_Harvey_Conservation_Area,TH_2,39.075758,-75.407264,latitude and longitude from handheld GPS or better,NA,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Ted_Harvey_Conservation_Area,TH_3,39.082936,-75.407043,latitude and longitude from handheld GPS or better,NA,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Ted_Harvey_Conservation_Area,TH_4,39.085238,-75.403832,latitude and longitude from handheld GPS or better,NA,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Ted_Harvey_Conservation_Area,TH_5,39.090229,-75.403721,latitude and longitude from handheld GPS or better,NA,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Ted_Harvey_Conservation_Area,TH_6,39.096435,-75.401939,latitude and longitude from handheld GPS or better,NA,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM_01,38.879926,-75.280343,latitude and longitude from handheld GPS or better,0.374,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM_02,38.904362,-75.296947,latitude and longitude from handheld GPS or better,0.437,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM_03,38.874741,-75.270113,latitude and longitude from handheld GPS or better,0.38,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_and_Sommerfield_2016,Prime_Hook_National_Wildlife_Refuge,PM_04,38.856592,-75.256524,latitude and longitude from handheld GPS or better,0.583,saline,emergent,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,NA,NA,NA,NA
