study_id,core_id,species_code
Boyd_2012,BBRC_1,Phragmites australis
Boyd_2012,BBRC_1,Distichlis spicata
Boyd_2012,BBRC_2,Phragmites australis
Boyd_2012,BBRC_2,Distichlis spicata
Boyd_2012,NCBD_1,Phragmites australis
Boyd_2012,NCBD_1,Distichlis spicata
Boyd_2012,NCBD_2,Phragmites australis
Boyd_2012,NCBD_2,Distichlis spicata
Boyd_2012,NCBD_3,Phragmites australis
Boyd_2012,NCBD_3,Distichlis spicata
Boyd_2012,NCBW_1,Phragmites australis
Boyd_2012,NCBW_1,Distichlis spicata
Boyd_2012,NCBW_2,Phragmites australis
Boyd_2012,NCBW_2,Distichlis spicata
Boyd_2012,NCBW_3,Phragmites australis
Boyd_2012,NCBW_3,Distichlis spicata
Boyd_2012,NCGB_1,Phragmites australis
Boyd_2012,NCGB_1,Distichlis spicata
Boyd_2012,NCGB_2,Phragmites australis
Boyd_2012,NCGB_2,Distichlis spicata
Boyd_2012,NCGB_3,Phragmites australis
Boyd_2012,NCGB_3,Distichlis spicata
Boyd_2012,LC_1,Spartina alterniflora
Boyd_2012,LC_1,Spartina patens
Boyd_2012,LC_2,Spartina alterniflora
Boyd_2012,LC_2,Spartina patens
Boyd_2012,LC_3,Spartina alterniflora
Boyd_2012,LC_3,Spartina patens
Boyd_2012,NCLM_1,Phragmites australis
Boyd_2012,NCLM_1,Distichlis spicata
Boyd_2012,NCLM_2,Phragmites australis
Boyd_2012,NCLM_2,Distichlis spicata
Boyd_2012,NCLM_3,Phragmites australis
Boyd_2012,NCLM_3,Distichlis spicata
Boyd_2012,PK_1,Spartina alterniflora
Boyd_2012,PK_1,Spartina patens
Boyd_2012,PK_2,Spartina alterniflora
Boyd_2012,PK_2,Spartina patens
Boyd_2012,PK_3,Spartina alterniflora
Boyd_2012,PK_3,Spartina patens
Boyd_2012,MH_1,Spartina alterniflora
Boyd_2012,MH_1,Spartina patens
Boyd_2012,MH_2,Spartina alterniflora
Boyd_2012,MH_2,Spartina patens
Boyd_2012,MH_3,Spartina alterniflora
Boyd_2012,MH_3,Spartina patens
Boyd_2012,NCRE_1,Phragmites australis
Boyd_2012,NCRE_1,Distichlis spicata
Boyd_2012,NCRE_2,Phragmites australis
Boyd_2012,NCRE_2,Distichlis spicata
Boyd_2012,NCRE_3,Phragmites australis
Boyd_2012,NCRE_3,Distichlis spicata
Boyd_2012,TH_1,Spartina alterniflora
Boyd_2012,TH_1,Spartina patens
Boyd_2012,TH_2,Spartina alterniflora
Boyd_2012,TH_2,Spartina patens
Boyd_2012,TH_3,Spartina alterniflora
Boyd_2012,TH_3,Spartina patens
Boyd_2012,TH_4,Spartina alterniflora
Boyd_2012,TH_4,Spartina patens
Boyd_2012,TH_5,Spartina alterniflora
Boyd_2012,TH_5,Spartina patens
Boyd_2012,TH_6,Spartina alterniflora
Boyd_2012,TH_6,Spartina patens
Boyd_and_Sommerfield_2016,PM_01,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_01,Spartina patens
Boyd_and_Sommerfield_2016,PM_02,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_02,Spartina patens
Boyd_and_Sommerfield_2016,PM_03,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_03,Spartina patens
Boyd_and_Sommerfield_2016,PM_04,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_04,Spartina patens
Boyd_and_Sommerfield_2016,PM_05,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_05,Spartina patens
Boyd_and_Sommerfield_2016,PM_06,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_06,Spartina patens
Boyd_and_Sommerfield_2016,PM_07,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_07,Spartina patens
Boyd_and_Sommerfield_2016,PM_08,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_08,Spartina patens
Boyd_and_Sommerfield_2016,PM_09,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_09,Spartina patens
Boyd_and_Sommerfield_2016,PM_10,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_10,Spartina patens
Boyd_and_Sommerfield_2016,PM_11,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_11,Spartina patens
Boyd_and_Sommerfield_2016,PM_12,Spartina alterniflora
Boyd_and_Sommerfield_2016,PM_12,Spartina patens
Breithaupt_et_al_2014,SH3_1,Rhizophora mangle
Breithaupt_et_al_2014,SH3_3,Rhizophora mangle
Breithaupt_et_al_2014,SH3_5,Rhizophora mangle
Breithaupt_et_al_2014,SH3_7,Rhizophora mangle
Breithaupt_et_al_2014,SH3_8,Rhizophora mangle
Breithaupt_et_al_2014,SH3_9,Rhizophora mangle
Breithaupt_et_al_2017,TTI1,Avicennia germinans
Breithaupt_et_al_2017,TTI2,Avicennia germinans
Breithaupt_et_al_2017,TTI3,Avicennia germinans
Breithaupt_et_al_2017,TTI4,Avicennia germinans
Breithaupt_et_al_2017,TTI5,Avicennia germinans
Breithaupt_et_al_2017,WSC11,Rhizophora mangle
Breithaupt_et_al_2017,WSC12,Rhizophora mangle
Breithaupt_et_al_2017,WSC13_2,Rhizophora mangle
Breithaupt_et_al_2017,WSC07,Rhizophora mangle
Breithaupt_et_al_2017,WSC08A,Rhizophora mangle
Breithaupt_et_al_2017,WSC08B,Rhizophora mangle
Breithaupt_et_al_2017,WSC09,Rhizophora mangle
Breithaupt_et_al_2017,WSC10_1,Rhizophora mangle
Breithaupt_et_al_2017,WSC01,Rhizophora mangle
Breithaupt_et_al_2017,WSC02A,Rhizophora mangle
Breithaupt_et_al_2017,WSC02B,Rhizophora mangle
Breithaupt_et_al_2017,WSC03,Rhizophora mangle
Breithaupt_et_al_2017,WSC04_1,Rhizophora mangle
Breithaupt_et_al_2017,WSC05,Rhizophora mangle
Breithaupt_et_al_2017,WSC06_2,Rhizophora mangle
Callaway_et_al_2012,Browns_Island_A_High,Scirpus acutus
Callaway_et_al_2012,Browns_Island_A_High,Schoenoplectus californicus
Callaway_et_al_2012,Browns_Island_A_High,Distichlis spicata
Callaway_et_al_2012,Browns_Island_A_High,Typa domingensis
Callaway_et_al_2012,Browns_Island_A_High,Triglochin maritima
Callaway_et_al_2012,Browns_Island_A_Low,Scirpus acutus
Callaway_et_al_2012,Browns_Island_A_Low,Schoenoplectus californicus
Callaway_et_al_2012,Browns_Island_A_Low,Distichlis spicata
Callaway_et_al_2012,Browns_Island_A_Low,Typa domingensis
Callaway_et_al_2012,Browns_Island_A_Low,Triglochin maritima
Callaway_et_al_2012,Browns_Island_A_Mid,Scirpus acutus
Callaway_et_al_2012,Browns_Island_A_Mid,Schoenoplectus californicus
Callaway_et_al_2012,Browns_Island_A_Mid,Distichlis spicata
Callaway_et_al_2012,Browns_Island_A_Mid,Typa domingensis
Callaway_et_al_2012,Browns_Island_A_Mid,Triglochin maritima
Callaway_et_al_2012,Browns_Island_B_High,Scirpus acutus
Callaway_et_al_2012,Browns_Island_B_High,Schoenoplectus californicus
Callaway_et_al_2012,Browns_Island_B_High,Distichlis spicata
Callaway_et_al_2012,Browns_Island_B_High,Typa domingensis
Callaway_et_al_2012,Browns_Island_B_High,Triglochin maritima
Callaway_et_al_2012,Browns_Island_B_Low,Scirpus acutus
Callaway_et_al_2012,Browns_Island_B_Low,Schoenoplectus californicus
Callaway_et_al_2012,Browns_Island_B_Low,Distichlis spicata
Callaway_et_al_2012,Browns_Island_B_Low,Typa domingensis
Callaway_et_al_2012,Browns_Island_B_Low,Triglochin maritima
Callaway_et_al_2012,Browns_Island_B_Mid,Scirpus acutus
Callaway_et_al_2012,Browns_Island_B_Mid,Schoenoplectus californicus
Callaway_et_al_2012,Browns_Island_B_Mid,Distichlis spicata
Callaway_et_al_2012,Browns_Island_B_Mid,Typa domingensis
Callaway_et_al_2012,Browns_Island_B_Mid,Triglochin maritima
Callaway_et_al_2012,China_Camp_A_High,Spartina foliosa
Callaway_et_al_2012,China_Camp_A_High,Salicornia pacifica
Callaway_et_al_2012,China_Camp_A_High,Grindelia stricta
Callaway_et_al_2012,China_Camp_A_High,Distichlis spicata
Callaway_et_al_2012,China_Camp_A_High,Cuscuta salina
Callaway_et_al_2012,China_Camp_A_Low,Spartina foliosa
Callaway_et_al_2012,China_Camp_A_Low,Salicornia pacifica
Callaway_et_al_2012,China_Camp_A_Low,Grindelia stricta
Callaway_et_al_2012,China_Camp_A_Low,Distichlis spicata
Callaway_et_al_2012,China_Camp_A_Low,Cuscuta salina
Callaway_et_al_2012,China_Camp_A_Mid,Spartina foliosa
Callaway_et_al_2012,China_Camp_A_Mid,Salicornia pacifica
Callaway_et_al_2012,China_Camp_A_Mid,Grindelia stricta
Callaway_et_al_2012,China_Camp_A_Mid,Distichlis spicata
Callaway_et_al_2012,China_Camp_A_Mid,Cuscuta salina
Callaway_et_al_2012,China_Camp_B_High,Spartina foliosa
Callaway_et_al_2012,China_Camp_B_High,Salicornia pacifica
Callaway_et_al_2012,China_Camp_B_High,Grindelia stricta
Callaway_et_al_2012,China_Camp_B_High,Distichlis spicata
Callaway_et_al_2012,China_Camp_B_High,Cuscuta salina
Callaway_et_al_2012,China_Camp_B_Low,Spartina foliosa
Callaway_et_al_2012,China_Camp_B_Low,Salicornia pacifica
Callaway_et_al_2012,China_Camp_B_Low,Grindelia stricta
Callaway_et_al_2012,China_Camp_B_Low,Distichlis spicata
Callaway_et_al_2012,China_Camp_B_Low,Cuscuta salina
Callaway_et_al_2012,China_Camp_B_Mid,Spartina foliosa
Callaway_et_al_2012,China_Camp_B_Mid,Salicornia pacifica
Callaway_et_al_2012,China_Camp_B_Mid,Grindelia stricta
Callaway_et_al_2012,China_Camp_B_Mid,Distichlis spicata
Callaway_et_al_2012,China_Camp_B_Mid,Cuscuta salina
Callaway_et_al_2012,COG_A_high,Spartina foliosa
Callaway_et_al_2012,COG_A_high,Salicornia pacifica
Callaway_et_al_2012,COG_A_low,Spartina foliosa
Callaway_et_al_2012,COG_A_low,Salicornia pacifica
Callaway_et_al_2012,COG_A_mid,Spartina foliosa
Callaway_et_al_2012,COG_A_mid,Salicornia pacifica
Callaway_et_al_2012,COG_B_high,Spartina foliosa
Callaway_et_al_2012,COG_B_high,Salicornia pacifica
Callaway_et_al_2012,COG_B_low,Spartina foliosa
Callaway_et_al_2012,COG_B_low,Salicornia pacifica
Callaway_et_al_2012,COG_B_mid,Spartina foliosa
Callaway_et_al_2012,COG_B_mid,Salicornia pacifica
Callaway_et_al_2012,Coon_Island_A_High,Spartina foliosa
Callaway_et_al_2012,Coon_Island_A_High,Salicornia pacifica
Callaway_et_al_2012,Coon_Island_A_High,Bolboschoenus maritimus
Callaway_et_al_2012,Coon_Island_A_High,Scirpus americanus
Callaway_et_al_2012,Coon_Island_A_High,Distichlis spicata
Callaway_et_al_2012,Coon_Island_A_High,Grindelia stricta
Callaway_et_al_2012,Coon_Island_A_Low,Spartina foliosa
Callaway_et_al_2012,Coon_Island_A_Low,Salicornia pacifica
Callaway_et_al_2012,Coon_Island_A_Low,Bolboschoenus maritimus
Callaway_et_al_2012,Coon_Island_A_Low,Scirpus americanus
Callaway_et_al_2012,Coon_Island_A_Low,Distichlis spicata
Callaway_et_al_2012,Coon_Island_A_Low,Grindelia stricta
Callaway_et_al_2012,Coon_Island_A_Mid,Spartina foliosa
Callaway_et_al_2012,Coon_Island_A_Mid,Salicornia pacifica
Callaway_et_al_2012,Coon_Island_A_Mid,Bolboschoenus maritimus
Callaway_et_al_2012,Coon_Island_A_Mid,Scirpus americanus
Callaway_et_al_2012,Coon_Island_A_Mid,Distichlis spicata
