study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,vegetation_class,vegetation_method,habitat
Doyle_2018,Flying_Point,Flying_Point_1,2016,9,NA,43.817566666666664,-70.05581666666667,handheld,seagrass,field observation,seagrass
Doyle_2018,Flying_Point,Flying_Point_2,2016,9,NA,43.817616666666666,-70.05568333333333,handheld,seagrass,field observation,seagrass
Doyle_2018,Flying_Point,Flying_Point_3,2016,9,NA,43.8177,-70.05555,handheld,seagrass,field observation,seagrass
Doyle_2018,Broad_Cove,Broad_Cove_1,2017,6,6,43.76065,-70.19306111111112,handheld,seagrass,field observation,seagrass
Doyle_2018,Broad_Cove,Broad_Cove_2,2017,6,6,43.76143611111111,-70.19296944444444,handheld,seagrass,field observation,seagrass
Doyle_2018,Broad_Cove,Broad_Cove_3,2017,6,6,43.762008333333334,-70.19290277777777,handheld,seagrass,field observation,seagrass
Doyle_2018,Larrabee_Cove,Larrabee_Cove_1,2017,6,23,44.67164722222222,-67.38319166666666,handheld,seagrass,field observation,seagrass
Doyle_2018,Larrabee_Cove,Larrabee_Cove_2,2017,6,23,44.67149722222222,-67.38304444444444,handheld,seagrass,field observation,seagrass
Doyle_2018,Larrabee_Cove,Larrabee_Cove_3,2017,6,23,44.671327777777776,-67.38307222222221,handheld,seagrass,field observation,seagrass
Sonshine_2012,Head_of Bay,Head_of_Bay_1,2011,6,28,43.860098,-69.994697,handheld,seagrass,field observation,seagrass
Sonshine_2012,Head_of Bay,Head_of_Bay_2,2011,6,28,43.859128,-69.997888,handheld,seagrass,field observation,seagrass
Sonshine_2012,Head_of Bay,Head_of_Bay_6,2011,6,28,43.856599,-70.004098,handheld,seagrass,field observation,seagrass
Doyle_2018,Broad_Cove,Sand_Core,2017,6,6,43.76146,-70.19445,handheld,seagrass,field observation,seagrass
