sample_id,material_dated
261021,NA
261022,NA
261023,NA
261024,NA
261025,NA
261016,bulk organic picked free of roots
261026,NA
261027,NA
261028,NA
261029,NA
261030,NA
261031,NA
261017,bulk organic picked free of roots
261032,NA
261033,NA
261034,NA
261035,NA
261036,NA
261037,NA
261018,bulk organic picked free of roots
261038,NA
261039,NA
261040,NA
261041,NA
261019,bulk organic picked free of roots
261042,NA
261043,NA
261044,NA
261045,NA
261046,NA
261047,NA
261048,NA
261049,NA
261050,NA
261051,NA
261052,NA
261053,NA
261054,NA
261055,NA
261056,NA
261057,NA
261058,NA
261059,NA
261060,NA
261061,NA
261062,NA
261020,bulk organic picked free of roots
261188,NA
261189,NA
261190,NA
261191,NA
261192,NA
261193,NA
261194,NA
261195,NA
261196,NA
261182,seeds
261197,NA
261198,NA
261199,NA
261200,NA
261201,NA
261202,NA
261203,NA
261204,NA
261205,NA
261206,NA
261207,NA
261208,NA
261209,NA
261210,NA
261211,NA
261183,seeds
261212,NA
261213,NA
261214,NA
261215,NA
261216,NA
261217,NA
261218,NA
261184,bulk organic picked free of roots
261219,NA
261220,NA
261221,NA
261222,NA
261223,NA
261224,NA
261225,NA
261185,bulk organic picked free of roots
261226,NA
261227,NA
261228,NA
261229,NA
261230,NA
261231,NA
261232,NA
261233,NA
261234,NA
261235,NA
261236,NA
261237,NA
261186,seeds
261238,NA
261239,NA
261240,NA
261241,NA
261242,NA
261243,NA
261244,NA
261245,NA
261246,NA
261247,NA
261248,NA
261249,NA
261250,NA
261251,NA
261252,NA
261253,NA
261254,NA
261255,NA
261256,NA
261257,NA
261258,NA
261259,NA
261187,seeds
261260,NA
261261,NA
261262,NA
261263,NA
261264,NA
261265,NA
261266,NA
261267,NA
261268,NA
261269,NA
261270,NA
261271,NA
260779,NA
260780,NA
260781,NA
260782,NA
260783,NA
260784,NA
260785,NA
260786,NA
260773,bulk organic picked free of roots
260787,NA
260788,NA
260789,NA
260790,NA
260774,bulk organic picked free of roots
260791,NA
260792,NA
260775,bulk organic picked free of roots
260793,NA
260794,NA
260795,NA
260796,NA
260797,NA
260798,NA
260799,NA
260800,NA
260801,NA
260776,bulk organic picked free of roots
260802,NA
260803,NA
260804,NA
260805,NA
260806,NA
260777,bulk organic picked free of roots
260807,NA
260808,NA
260778,bulk organic picked free of roots
260809,NA
