Study ID,Reference,Remarks
Rozainah et al. (2018),"Rozainah, M. Z., Nazri, M. N., Sofawi, A. B., Hemati, Z., & Juliana, W. A. Estimation of carbon pool in soil, above and below ground vegetation at different types of mangrove forests in Peninsular Malaysia. Mar. Pollut. Bull., 137, 237-245 (2018).",
Arifanti et al. (2019),"Arifanti, V. B., Kauffman, J. B., Hadriyanto, D., Murdiyarso, D., & Diana, R. Carbon dynamics and land use carbon footprints in mangrove-converted aquaculture: The case of the Mahakam Delta, Indonesia. For. Eco. Manag., 432, 17-29 (2019).",
Chen et al. (2018)_FEM,"Chen, G., Gao, M., Pang, B., Chen, S., & Ye, Y. Top-meter soil organic carbon stocks and sources in restored mangrove forests of different ages. For. Ecol. Manag., 422, 87-94 (2018).",
Hieu et al. (2017),"Hieu, P.V. Dung, L.V., Tue, N.T., & Omori, K. Will restored mangrove forests enhance sediment organic carbon and ecosystem carbon storage? Reg. Stud. Mar.
Sci., 14, 43-52 (2017).",
Adame et al. (2012),"Adame, M. F. et al. Sensitivity of dissolved organic carbon exchange and sediment bacteria to water quality in mangrove forests. Hydrobiologia 691, 239-253 (2012).",
Adame et al. (2013),"Adame, M. F. et al. Carbon stocks of tropical coastal wetlands within the karstic landscape of the Mexican Caribbean. PLoS One 8, e56569 (2013).",
Adame et al. (2015),"Adame, M. et al. Carbon stocks and soil sequestration rates of riverine mangroves and freshwater wetlands. Biogeosciences 12, 3805-3818 (2015).",
Adame et al. (2018),"Adame, M. F. et al. Loss and recovery of carbon and nitrogen after mangrove clearing. Ocean Coast. Manag. 161, 117-126, doi:10.1016/j.ocecoaman.2018.04.019 (2018).",
Ajonina et al. (2014),"Ajonina, G. et al. Carbon pools and multiple benefits of mangroves in Central Africa: Assessment for REDD+.  (2014).",
Ajonina et al. (2014)_Springer,"Ajonina, G. N. et al. in The Land/Ocean Interactions in the Coastal Zone of West and Central Africa     139-149 (Springer, 2014).",
Allen et al. (2010),"Allen, D. et al. Seasonal variation in nitrous oxide and methane emissions from subtropical estuary and coastal mangrove sediments, Australia. Plant Biol. 13, 126-133 (2011).",
Almahasheer et al. unpublished data,,data from Atwood et al. (2017)
Alongi et al. (1993),"Alongi, D. M. et al. The influence of forest type on microbial-nutrient relationships in tropical mangrove sediments. J. Exp. Mar. Bio. Ecol. 171, 201-223 (1993).",
Alongi et al. (1996),"Alongi, D. M. The dynamics of benthic nutrient pools and fluxes in tropical mangrove forests. J. Mar. Res. 54, 123-148 (1996).",
Alongi et al. (2000),"Alongi, D. et al. Below-ground decomposition of organic matter in forests of the mangroves Rhizophora stylosa and Avicennia marina along the arid coast of Western Australia. Aquat. Bot. 68, 97-122 (2000).",
Alongi et al. (2001),"Alongi, D. et al. Organic carbon accumulation and metabolic pathways in sediments of mangrove forests in southern Thailand. Mar. Geol. 179, 85-103 (2001).",
Alongi et al. (2004),"Alongi, D. et al. Sediment accumulation and organic material flux in a managed mangrove ecosystem: estimates of land–ocean–atmosphere exchange in peninsular Malaysia. Mar. Geol. 208, 383-402 (2004).",
