study_id,core_id,country,core_latitude,core_longitude,latitude_precision,longitude_precision,core_elevation,salinity_code,vegetation_code,inundation_class,core_length_flag,depth_min,depth_max,Holocene_RSLR,carbon_stock (Mg ha-1),corrected_carbon_stock_using_estimated_conversion_factor (Mg ha-1),carbon_stock_final  (Mg ha-1)?,Included_in_previous_compilations?
Perera et al. (2019),Negombo estuary,Sri Lanka,7.1833,79.8333,4,4,NA,NA,NA,basin,0.45,0,0.45,III~V,902.2444444,,902.2444444,No
Perera et al. (2019),Chilaw lagoon,Sri Lanka,7.5,79.8167,1,4,NA,NA,NA,basin,0.45,0,0.45,III~V,770.7333333,,770.7333333,No
Perera et al. (2019),Rekawa lagoon,Sri Lanka,6.0333,80.85,4,2,NA,NA,NA,basin,0.45,0,0.45,III~V,1290.755556,,1290.755556,No
Perera et al. (2019),Kala Oya estuary,Sri Lanka,8.2833,79.8333,4,4,NA,NA,NA,basin,0.45,0,0.45,III~V,836.1333333,,836.1333333,No
Perera et al. (2019),MalwathuOya estuary,Sri Lanka,8.8167,79.9167,4,4,NA,NA,NA,basin,0.45,0,0.45,III~V,767.8444444,,767.8444444,No
Perera et al. (2019),Batticaloa lagoon,Sri Lanka,7.7167,81.6,4,1,NA,NA,NA,basin,0.45,0,0.45,III~V,702.8666667,,702.8666667,No
Perera et al. (2019),Uppar lagoon,Sri Lanka,8.1333,81.3833,4,4,NA,NA,NA,basin,0.45,0,0.45,III~V,752.9111111,,752.9111111,No
Ochoa-Gomez et al. (2019),Balandra,Mexico,24.3217,-110.3242,4,4,NA,saline,NA,interior,0.45,0,0.45,III~V,530.8888889,,530.8888889,No
Ochoa-Gomez et al. (2019),Enfermeria,Mexico,24.2167,-110.308,4,3,NA,saline,NA,interior,0.45,0,0.45,III~V,412.2222222,,412.2222222,No
Ochoa-Gomez et al. (2019),Zacatecas,Mexico,24.1667,-110.4333,4,4,NA,saline,NA,dwarf,0.45,0,0.45,III~V,222.8888889,,222.8888889,No
Sun et al. (2019),sun_19,China,23.93,117.42,2,2,NA,polyhaline,NA,fringe,0.15,0,0.15,III~V,48.493,,48.493,No
Rozainah et al. (2018),DK,Malaysia,6.28,102.167,2,3,NA,mesohaline,NA,overwash,1,0,1,III~V,413.33,,413.33,No
Rozainah et al. (2018),JP,Malaysia,6.28,102.167,2,3,NA,mesohaline,NA,fringe/overwash,1,0,1,III~V,384.57,,384.57,No
Arifanti et al. (2019),Tunu,Indonesia,-0.505,117.56,3,2,NA,polyhaline,NA,NA,3,0,3,III~V,343,,343,No
Arifanti et al. (2019),Salette,Indonesia,-0.518,117.5,3,1,NA,mesohaline,NA,NA,3,0,3,III~V,275,,275,No
Arifanti et al. (2019),Bayur,Indonesia,-0.733,117.57,3,2,NA,polyhaline,NA,NA,3,0,3,III~V,354,,354,No
Arifanti et al. (2019),Labu-labu,Indonesia,-0.732,117.57,3,2,NA,polyhaline,NA,NA,3,0,3,III~V,337,,337,No
