study_id,site_id,transect_id,plot_id,core_id,year,month,day,latitude,longitude,position_method,section_n,max_depth,habitat,site_description,ecotype,protection_status,protection_notes,ecosystem_health,pH,salinity,ORP,inundation_notes,tree_count,dominant_species,plot_sediment_carbon,plot_sediment_carbon_1m,plot_biomass_carbon,total_ecosystem_carbon,total_ecosystem_carbon_1m
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,2021,9,2,17.691465,-88.11592,handheld,1,94,mangrove,"15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves",Caye,National Legislation,NA,healthy,6.56,57,-148,falling (plots 1-4) to low tide (plots 5-6),49,Rhizophora mangle,410.4681429,410.4681429,111.371424,521.8395669,521.8395669
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,2021,9,2,17.691475,-88.116119,handheld,3,224,mangrove,"Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves",Caye,National Legislation,NA,healthy,7.05,37,-210,falling (plots 1-4) to low tide (plots 5-6),30,Avicennia germinans,714.6878045,279.0445801,64.2485,778.9363045,343.2930801
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,2021,9,2,17.691509,-88.116355,handheld,1,97,mangrove,"standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress",Caye,National Legislation,NA,healthy,6.65,35,-327,falling (plots 1-4) to low tide (plots 5-6),36,Rhizophora mangle,453.0933975,453.0933975,96.90056971,549.9939672,549.9939672
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,2021,9,2,17.691458,-88.116596,handheld,1,93,mangrove,"average 5-10ft trees, open canopy, mostly Avicennia, leaves being eaten, oxygen stress, standing water 3-6in., sparse trees at >15ft, stand of dwarf mangrove, some anoxia (black on root)",Caye,National Legislation,NA,healthy,7.29,35,-32,falling (plots 1-4) to low tide (plots 5-6),17,Rhizophora mangle,385.0759749,385.0759749,55.68653733,440.7625122,440.7625122
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,2021,9,2,17.691358,-88.116795,handheld,1,94,mangrove,"trees mostly Avicennia, leaves being eaten, open canopy, dwarf stand, standing water 3 in, mostly 5-10ft trees, sparse above 15 m, oxygen stress",Caye,National Legislation,NA,healthy,6.75,35,-309,falling (plots 1-4) to low tide (plots 5-6),16,Rhizophora mangle,360.2081984,360.2081984,23.18127615,383.3894746,383.3894746
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,2021,9,2,17.691317,-88.117022,handheld,2,124,mangrove,"mostly Avicennia, leaves being eaten, open canopy, standing water 3 in, mostly 6-15 ft",Caye,National Legislation,NA,healthy,7.28,33,-32,falling (plots 1-4) to low tide (plots 5-6),15,Rhizophora mangle,442.9391719,349.3060496,16.9311676,459.8703395,366.2372172
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,2021,9,3,17.489636,-88.06327,handheld,2,171,mangrove,"trees ~30 ft, mostly Rhizophora, not very dense, open canopy, high water table, oxygen stress, brittle branches, healthy leaves",Caye,National Legislation,NA,healthy,6.46,37,-377,falling (plots 1-5) to low tide (plot 6),35,Rhizophora mangle,517.0458947,248.5501853,79.07193759,596.1178323,327.6221229
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,2021,9,3,17.489653,-88.063488,handheld,2,173,mangrove,"30-35ft trees, more open canopy, mixed Rh and Av, insect eaten leaves (but green), oxygen stress, standing water, lots of saplings",Caye,National Legislation,NA,healthy,6.4,32,-271,falling (plots 1-5) to low tide (plot 6),18,Rhizophora mangle,531.4320432,257.7503301,49.22093834,580.6529815,306.9712685
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,2021,9,3,17.489699,-88.063664,handheld,2,195,mangrove,"tall trees above ~40 ft, mix of Rh and Av with a few La, high standing water 4-6in, healthier leaves, oxygen stress",Caye,National Legislation,NA,healthy,6.43,32,-241,falling (plots 1-5) to low tide (plot 6),19,Rhizophora mangle,658.535835,411.8022652,67.11245396,725.648289,478.9147191
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,2021,9,3,17.489674,-88.063867,handheld,2,190,mangrove,"tall trees above ~40 ft, mostly Av with a few La, high standing water 4-6in, healthier leaves, oxygen stress",Caye,National Legislation,NA,healthy,6.66,24,-270,falling (plots 1-5) to low tide (plot 6),15,Rhizophora mangle,673.5040539,412.7786669,51.65233713,725.156391,464.431004
