study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,journal
Abbott_et_al_2019,Abbott_et_al_2019_article,associated source,Article,Factors influencing blue carbon accumulation across a 32-year chronosequence of created coastal marshes,Katherine M. Abbott and Tracy Elsey-Quirk and Ronald D. DeLaune,NA,10.1002/ecs2.2828,https://doi.org/10.1002/ecs2.2828,2019,aug,Wiley,Ecosphere
Allen_et_al_2022,Allen_et_al_2021_article,associated source,Article,Contributions of Organic and Mineral Matter to Vertical Accretion in Tidal Wetlands across a Chesapeake Bay Subestuary,Jenny R. Allen and Jeffrey C. Cornwell and Andrew H. Baldwin,NA,10.3390/jmse9070751,https://www.mdpi.com/2077-1312/9/7/751,2021,NA,NA,Journal of Marine Science and Engineering
Arias-Ortiz_et_al_2021,Arias-Ortiz_et_al_2021_article,associated source,Article,"Tidal and nontidal marsh restoration: a trade-off between carbon sequestration, methane emissions, and soil accretion",Ariane Arias-Ortiz and Patty Y. Oikawa and Joseph Carlin and Pere Masqué and Julie Shahan and Sadie Kanneg and Adina Paytan and Dennis D. Baldocchi,NA,10.1029/2021JG006573,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2021JG006573,2021,NA,NA,Journal of Geophysical Research: Biogeosciences
Arriola_and_Cable_2017,Arriola_and_Cable_2017_article,associated source,Article,Variations in carbon burial and sediment accretion along a tidal creek in a Florida salt marsh,Jill M. Arriola and Jaye E. Cable,NA,10.1002/lno.10652,https://doi.org/10.1002/lno.10652,2017,sep,Wiley,Limnology and Oceanography
Baustian_et_al_2021,Baustian_et_al_2021_article,associated source,Article,Long-Term Carbon Sinks in Marsh Soils of Coastal Louisiana are at Risk to Wetland Loss,Melissa M. Baustian and Camille L. Stagg and Carey L. Perry and Leland C. Moss and Tim J. B. Carruthers,NA,10.1029/2020jg005832,https://doi.org/10.1029/2020jg005832,2021,mar,American Geophysical Union ({AGU}),Journal of Geophysical Research: Biogeosciences
Belshe_et_al_2019,Belshe_et_al_2019_article,associated source,Article,Modeling Organic Carbon Accumulation Rates and Residence Times in Coastal Vegetated Ecosystems,E. Fay Belshe and Jose Sanjuan and Carmen Leiva-Dueñas and Nerea Piñeiro-Juncal and Oscar Serrano and Paul Lavery and Miguel Angel Mateo,NA,10.1029/2019jg005233,https://doi.org/10.1029/2019jg005233,2019,nov,American Geophysical Union ({AGU}),Journal of Geophysical Research: Biogeosciences
Boyd_2012,Boyd_2012_article,synthesis source,MastersThesis,Comparison of sediment accumulation and accretion in impounded and unimpounded marshes of the Delaware Estuary,Brandon Boyd,University of Delaware,NA,http://udspace.udel.edu/handle/19716/12831,2012,NA,NA,NA
Boyd_and_Sommerfield_2016,Boyd_and_Sommerfield_2016_article,synthesis source,Article,Marsh accretion and sediment accumulation in a managed tidal wetland complex of Delaware Bay,Brandon M. Boyd and Christopher K. Sommerfield,NA,10.1016/j.ecoleng.2016.03.045,https://doi.org/10.1016/j.ecoleng.2016.03.045,2016,jul,Elsevier {BV},Ecological Engineering
Boyd_et_al_2017,Boyd_et_al_2017_article,synthesis source,Article,Hydrogeomorphic influences on salt marsh sediment accumulation and accretion in two estuaries of the U.S. Mid-Atlantic coast,Brandon M. Boyd and Christopher K. Sommerfield and Tracy Elsey-Quirk,NA,10.1016/j.margeo.2016.11.008,https://doi.org/10.1016/j.margeo.2016.11.008,2017,NA,Elsevier,Marine Geology
Breithaupt_et_al_2014,Breithaupt_et_al_2014_article,associated source,Article,"Temporal variability of carbon and nutrient burial, sediment accretion, and mass accumulation over the past century in a carbonate platform mangrove forest of the Florida Everglades",Joshua L Breithaupt and Joseph M Smoak and Thomas J {Smith III} and Christian J Sanders,NA,10.1002/2014JG002715,https://doi.org/10.1002/2014JG002715,2014,NA,Wiley Online Library,Journal of Geophysical Research: Biogeosciences
Callaway_et_al_2019,Callaway_et_al_2012_article,associated source,Article,Carbon Sequestration and Sediment Accretion in San Francisco Bay Tidal Wetlands,John C. Callaway and Evyan L. Borgnis and R. Eugene Turner and Charles S. Milan,NA,10.1007/s12237-012-9508-9,https://doi.org/10.1007/s12237-012-9508-9,2012,jun,Springer Science and Business Media {LLC},Estuaries and Coasts
Craft_2007,Craft_2007_article,associated source,Article,"Freshwater input structures soil properties, vertical accretion, and nutrient accumulation of Georgia and U.S tidal marshes",Christopher Craft,NA,10.4319/lo.2007.52.3.1220,https://doi.org/10.4319/lo.2007.52.3.1220,2007,may,Wiley,Limnology and Oceanography
Drexler_et_al_2009,Drexler_et_al_2009_article,associated source,Article,"Peat Accretion Histories During the Past 6,000~Years in Marshes of the Sacramento{\textendash}San Joaquin Delta, {CA}, {USA}",Judith Z. Drexler and Christian S. {de Fontaine} and Thomas A. Brown,NA,10.1007/s12237-009-9202-8,https://doi.org/10.1007/s12237-009-9202-8,2009,jul,Springer Science and Business Media {LLC},Estuaries and Coasts
