study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes,core_length_flag,habitat,habitat_assignment_method,stocks_qual_code,dates_qual_code,elevation_qual_code,max_depth
Trettin_et_al_2017,1001,1001_1,NA,NA,NA,NA,-18.831799,36.240201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,198
Trettin_et_al_2017,1001,1001_2,NA,NA,NA,NA,-18.831799,36.240201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,190
Trettin_et_al_2017,1001,1001_3,NA,NA,NA,NA,-18.831799,36.240201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,193
Trettin_et_al_2017,1001,1001_4,NA,NA,NA,NA,-18.831799,36.240201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1001,1001_5,NA,NA,NA,NA,-18.831799,36.240201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1079,1079_1,NA,NA,NA,NA,-18.840148,36.264355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1079,1079_2,NA,NA,NA,NA,-18.840148,36.264355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1079,1079_3,NA,NA,NA,NA,-18.840148,36.264355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,185
Trettin_et_al_2017,1079,1079_4,NA,NA,NA,NA,-18.840148,36.264355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,187
Trettin_et_al_2017,1079,1079_5,NA,NA,NA,NA,-18.840148,36.264355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
