Authors,title,Year,Source Title,Included
"Sweetman, BM; Foley, JR; Steinberg, MK","A baseline analysis of coastal water quality of the port Honduras marine reserve, Belize: a critical habitat for sport fisheries",2019,ENVIRONMENTAL BIOLOGY OF FISHES,N
"Butler, JD; Purkis, LM; Purkis, SJ; Yousif, R; Al-Shaikh, I",A benthic habitat sensitivity analysis of Qatar's coastal zone,2021,MARINE POLLUTION BULLETIN,N
"JMD Quevedo, Y Uchiyama, R Kohsaka",A blue carbon ecosystems qualitative assessment applying the DPSIR framework: Local perspective of global benefits and contributions,2021,Marine Policy,N
"L Windham-Myers, S Crooks, TG Troxler","A blue carbon primer: the state of coastal wetland carbon science, practice and policy",2018,NA,N
"Mcleod, E; Chmura, GL; Bouillon, S; Salm, R; Bjork, M; Duarte, CM; Lovelock, CE; Schlesinger, WH; Silliman, BR",A blueprint for blue carbon: toward an improved understanding of the role of vegetated coastal habitats in sequestering CO2,2011,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,N
"Coetzee, JC; Adams, JB; Bate, GC",A botanical importance rating of selected Cape estuaries,1997,WATER SA,N
"J Huo, R Fisher",A Business Plan for Blue Carbon Offsets at Duke University,2012,NA,N
"BUCHER, D; SAENGER, P",A CLASSIFICATION OF TROPICAL AND SUBTROPICAL AUSTRALIAN ESTUARIES,1994,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,N
"Stunz, GW; Minello, TJ; Levin, PS","A comparison of early juvenile red drum densities among various habitat types in Galveston Bay, Texas",2002,ESTUARIES,N
"SOGARD, SM; ABLE, KW","A COMPARISON OF EELGRASS, SEA LETTUCE MACROALGAE, AND MARSH CREEKS AS HABITATS FOR EPIBENTHIC FISHES AND DECAPODS",1991,ESTUARINE COASTAL AND SHELF SCIENCE,N
"Robertson, TL; Weis, JS",A comparison of epifaunal communities associated with the stems of salt marsh grasses Phragmites australis and Spartina alterniflora,2005,WETLANDS,N
"Nagelkerken, I; van der Velde, G","A comparison of fish communities of subtidal seagrass beds and sandy seabeds in 13 marine embayments of a Caribbean island, based on species, families, size distribution and functional groups",2004,JOURNAL OF SEA RESEARCH,N
"ODONOHUE, MJ; MORIARTY, DJW; MACRAE, IC",A COMPARISON OF METHODS FOR DETERMINING RATES OF ACETYLENE-REDUCTION (NITROGEN-FIXATION) BY HETEROTROPHIC BACTERIA IN SEAGRASS SEDIMENT,1991,JOURNAL OF MICROBIOLOGICAL METHODS,N
"JL Raw, CL Julie, JB Adams",A comparison of soil carbon pools across a mangrove-salt marsh ecotone at the southern African warm-temperate range limit,2019,South African Journal of Botany,Y
"Adame, MF; Vilas, MP; Franklin, H; Garzon-Garcia, A; Hamilton, D; Ronan, M; Griffiths, M",A conceptual model of nitrogen dynamics for the Great Barrier Reef catchments,2021,MARINE POLLUTION BULLETIN,N
"Peterson, MS",A conceptual view of environment-habitat-production linkages in tidal river estuaries,2003,REVIEWS IN FISHERIES SCIENCE,N
"Marsh, H; Eros, C; Corkeron, P; Breen, B",A conservation strategy for dugongs: implications of Australian research,1999,MARINE AND FRESHWATER RESEARCH,N
"Ortega, A; Geraldi, NR; Diaz-Rua, R; Orberg, SB; Wesselmann, M; Krause-Jensen, D; Duarte, CM",A DNA mini-barcode for marine macrophytes,2020,MOLECULAR ECOLOGY RESOURCES,N
"MP Barber, W Mitchell, T von Hirsch…",A Drop in the Ocean,2006,Journal of Futures …,N
"de Fouw, J; van der Heide, T; van Belzen, J; Govers, LL; Cheikh, MAS; Olff, H; van de Koppel, J; van Gils, JA",A facultative mutualistic feedback enhances the stability of tropical intertidal seagrass beds,2018,SCIENTIFIC REPORTS,N
"Chiu, MC; Pan, CW; Lin, HJ",A framework for assessing risk to coastal ecosystems in Taiwan due to climate change,2017,TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,N
"Silva, R; Martinez, ML; van Tussenbroek, BI; Guzman-Rodriguez, LO; Mendoza, E; Lopez-Portillo, J",A Framework to Manage Coastal Squeeze,2020,SUSTAINABILITY,N
"A Chanda, S Das, T Ghosh",A General Introduction to the Concept of Blue Carbon,NA,Blue Carbon Dynamics of the Indian Ocean …,N
"SM Trevathan-Tackett, PI Macreadie…",A global assessment of the chemical recalcitrance of seagrass tissues: implications for long-term carbon sequestration,2017,Frontiers in plant …,N
"A Ward, P Dargusch, S Thomas, Y Liu…","A global estimate of carbon stored in the world's mountain grasslands and shrublands, and the implications for climate policy",2014,Global Environmental …,N
