bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issue,issn,eprint,article-number
Adame_et_al_2013_article,synthesis source,Article,Carbon Stocks of Tropical Coastal Wetlands within the Karstic Landscape of the Mexican Caribbean,Maria Fernanda Adame and J. Boone Kauffman and Israel Medina and Julieta N. Gamboa and Olmo Torres and Juan P. Caamal and Miriam Reza and Jorge A. Herrera-Silveira,NA,10.1371/journal.pone.0056569,https://doi.org/10.1371/journal.pone.0056569,2013,feb,Public Library of Science ({PLoS}),8,2,e56569,{PLoS} {ONE},NA,Han Y. H. Chen,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015_article,synthesis source,Article,Carbon stocks and soil sequestration rates of tropical riverine wetlands,M. F. Adame and N. S. Santini and C. Tovilla and A. VÃ¡zquez-Lule and L. Castro and M. Guevara,NA,10.5194/bg-12-3805-2015,https://doi.org/10.5194/bg-12-3805-2015,2015,jun,Copernicus {GmbH},12,12,3805--3818,Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2020_article,associated source,Article,Carbon and Nitrogen Sequestration of Melaleuca Floodplain Wetlands in Tropical Australia,M. F. Adame and R. Reef and V. N. L. Wong and S. R. Balcombe and M. P. Turschwell and E. Kavehei and D. C. Rodríguez and J. J. Kelleway and P. Masque and M. Ronan,NA,10.1007/s10021-019-00414-5,http://dx.doi.org/10.1007/s10021-019-00414-5,2019,jul,Springer Science and Business Media LLC,23,2,454–466,Ecosystems,NA,NA,NA,NA,NA,NA,NA,1435-0629,NA,NA
Adame_et_al_2021_article,associated source,Article,"Mangroves in arid regions: Ecology, threats, and opportunities",M.F. Adame and R. Reef and N.S. Santini and E. Najera and M.P. Turschwell and M.A. Hayes and P. Masque and C.E. Lovelock,NA,10.1016/j.ecss.2020.106796,http://dx.doi.org/10.1016/j.ecss.2020.106796,2021,jan,Elsevier BV,248,NA,106796,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,0272-7714,NA,NA
Adams_and_Human_2016,associated source,Article,Investigation into the mortality of mangroves at St. Lucia Estuary,"J.B. Adams, L.R.D. Human",NA,http://dx.doi.org/10.1016/j.sajb.2016.03.018,http://dx.doi.org/10.1016/j.sajb.2016.03.018,2016,NA,NA,NA,NA,NA,South African Journal of Botany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akther_et_al_2021_article,primary dataset,Article,Fractionation of Organic Carbon and Stock Measurement in the Sundarbans Mangrove Soils of Bangladesh,"Sayada Momotaz Akther, Md Mahfuz Islam, Md Faruque Hossain, Zakia Parveen",NA,https://doi.org/10.4236/ajcc.2021.104028,https://www.scirp.org/journal/paperinformation.aspx?paperid=114407,2021,NA,NA,NA,NA,NA,American Journal of Climate Change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisfeld_et_al_1999_article,associated source,Article,Sedimentation Rates in Flow-Restricted and Restored Salt Marshes in Long Island Sound,Shimon C. Anisfeld and Marcia J. Tobin and Gaboury Benoit,NA,10.2307/1352980,http://dx.doi.org/10.2307/1352980,1999,jun,Springer Science and Business Media LLC,22,2,231,Estuaries,NA,NA,NA,NA,NA,NA,NA,0160-8347,NA,NA
Beasy_and_Ellison_2013_article,associated source,Article,"Comparison of Three Methods for the Quantification of Sediment Organic Carbon in Salt Marshes of the Rubicon Estuary, Tasmania, Australia",Kim M. Beasy and Joanna C. Ellison,NA,10.5539/ijb.v5n4p1,http://dx.doi.org/10.5539/ijb.v5n4p1,2013,jul,Canadian Center of Science and Education,5,4,NA,International Journal of Biology,NA,NA,NA,NA,NA,NA,NA,1916-9671,NA,NA
Beers_et_al_2023_data,primary dataset,Misc,"Dataset: Mangrove, tidal wetland and seagrass soil carbon stocks along latitudinal gradients",Lisa M Schile-Beers and Andrew H. Altieri and J. Patrick Megonigal,NA,10.25573/SERC.11971527,https://smithsonian.figshare.com/articles/dataset/Dataset_Mangrove_tidal_wetland_and_seagrass_soil_carbon_stocks_along_latitudinal_gradients/11971527,2023,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bekker_2015,associated source,Misc,NA,Zandri Bekker,NA,NA,NA,2015,NA,NA,NA,NA,NA,Standard Theses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
