Source,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor,Data_use,Data_contact
"Russell et al, submitted",Acraman Creek,AC_1_A,Supratidal saltmarsh,-32.453274,134.042862,direct from dataset,Australia,2021,0,5,LOI,0.53,0.6378359,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_A,Supratidal saltmarsh,-32.453274,134.042862,direct from dataset,Australia,2021,5,10,LOI,0.68,0.842244449,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_A,Supratidal saltmarsh,-32.453274,134.042862,direct from dataset,Australia,2021,10,20,LOI,<0.25,1.29950082,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_A,Supratidal saltmarsh,-32.453274,134.042862,direct from dataset,Australia,2021,20,30,LOI,<0.25,1.200715866,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_A,Supratidal saltmarsh,-32.453274,134.042862,direct from dataset,Australia,2021,30,40,LOI,<0.25,1.323976081,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_A,Supratidal saltmarsh,-32.453274,134.042862,direct from dataset,Australia,2021,40,50,LOI,<0.25,1.197350261,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_B,Supratidal saltmarsh,-32.453275,134.042788,direct from dataset,Australia,2021,0,5,LOI,0.3,0.873946162,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_B,Supratidal saltmarsh,-32.453275,134.042788,direct from dataset,Australia,2021,5,10,LOI,0.44,0.64694976,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_B,Supratidal saltmarsh,-32.453275,134.042788,direct from dataset,Australia,2021,10,20,LOI,<0.25,1.390701367,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_B,Supratidal saltmarsh,-32.453275,134.042788,direct from dataset,Australia,2021,20,30,LOI,<0.25,1.622700936,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_B,Supratidal saltmarsh,-32.453275,134.042788,direct from dataset,Australia,2021,30,40,LOI,<0.25,1.504819349,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_B,Supratidal saltmarsh,-32.453275,134.042788,direct from dataset,Australia,2021,40,50,LOI,<0.25,1.503220867,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
