site_id,latitude,longitude,salinity,seagrass present,notes
Urca,,,36,Halophila decipiens,urban beach near mouth of Guanabara Bay
Arrial do Cabo,,,36,Halodule wrightii,long sandy beach with minimal surrounding vegetation
Ilha do Japones- site 1,,,31,Halodule wrightii,beach located near inlet
Ilha do Japones- site 2 ,,,31,Halodule wrightii,"beach located near inlet, adjacent to tropical forest."
Praia dos Ossos,,,37,Halodule wrightii,long sandy beach adjacent to urban area
Praia da Ferradura,,,37,Halodule wrightii,long sandy beach with minimal surrounding vegetation
Manguinhos,,,40,Halodule wrightii,long sandy beach adjacent to urban area
Ilha Grande - site 1,,,35,Halodule wrightii,shallow water beach used for harvesting infauna
Ilha Grande - site 2,,,37,Halodule wrightii,near mangrove-lined coast
Bracui - site 1 ,,,35,Halodule wrightii,on subtidal sandban
Bracui - site 2,,,35,Halodule wrightii,near mangrove-lined embayment
Santa Cruz,,,34,H. decipiens & H. wrightii,beach located at river mouth
Vitoria ,,,36,Halodule emarginata,long sandy beach adjacent to urban area
Vila Velha,,,36,Halodule emarginata,small embayment used for ship storage
bob,,,,T. testudinum,Sparse seagrass in fine sediment.
rb,,,,T. testudinum,Sparse seagrass in fine sediment.
nm,,,,T. testudinum,Dense seagrass on shallow bank
tc,,,,T. testudinum & H. wrightii,Sparse seagrass in fine sediment
