study_id,site_id,core_id,method_id,year,month,day,latitude,longitude,country,admin_division,habitat,depth_min,depth_max,sample_id,dry_bulk_density,compaction_fraction,compaction_notes,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,pb214_activity,pb214_activity_se,pb214_unit,bi214_activity,bi214_unit,delta_c13,be7_activity,be7_activity_se,age,age_se,depth_interval_notes,core_notes,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes,core_length_flag,stocks_qual_code,dates_qual_code,elevation_qual_code,max_depth,coring_method,roots_flag,sediment_sieved_flag,sediment_sieve_size,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_time,dry_bulk_density_sample_volume,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,loss_on_ignition_sample_mass,loss_on_ignition_flag,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type,carbon_profile_notes,cs137_counting_method,pb210_counting_method,excess_pb210_rate,excess_pb210_model,ra226_assumption,c14_counting_method,dating_notes,age_depth_model_reference,age_depth_model_notes,fraction_carbon_flag,high_low_carbon,percent_organic_matter,percent_carbon
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,NA,NA,NA,NA,38.21466,-122.9265,United States,California,marsh,6,8,NA,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,C2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,12.14,3.904527034
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,NA,NA,NA,NA,38.21466,-122.9265,United States,California,marsh,10,12,NA,0.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,C2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,13.970000000000002,3.035547729
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,NA,NA,NA,NA,38.21466,-122.9265,United States,California,marsh,14,16,NA,1.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,C2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,11.01,3.6065
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,NA,NA,NA,NA,38.21466,-122.9265,United States,California,marsh,16,18,NA,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,C2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,8.41,1.6831911979999998
Ward_et_al_2021,Tomales Bay,Tomales Bay 41,NA,NA,NA,NA,38.21338,-122.92653,United States,California,marsh,2,4,NA,0.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,C2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,34.36,2.3344
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,NA,NA,NA,NA,38.2118,-122.92657,United States,California,marsh,4,6,NA,0.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,C2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,15.629999999999999,5.533072607
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,NA,NA,NA,NA,38.2118,-122.92657,United States,California,marsh,10,12,NA,0.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,C2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,9.35,2.7861
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,NA,NA,NA,NA,38.2118,-122.92657,United States,California,marsh,12,14,NA,0.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,C2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,7.35,2.8813
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,NA,NA,NA,NA,38.2118,-122.92657,United States,California,marsh,14,16,NA,1.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,C2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,11.13,3.6065
Ward_et_al_2021,Newport Bay,Newport Bay 50,NA,NA,NA,NA,33.62597,-117.88922,United States,California,marsh,2,4,NA,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,C2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,10.8364,2.1152
