study_id,site_id,core_id,year,latitude,longitude,position_method,position_notes,elevation,elevation_datum,elevation_method,salinity_class,vegetation_class,inundation_class,core_length_flag
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,2009,39.375811,-75.651786,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,2009,39.378697,-75.643872,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Little_Creek_Marsh,LC1,2011,39.145008,-75.423547,NA,latitude and longitude from handheld GPS or better,0.703,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Little_Creek_Marsh,LC2,2011,39.151014,-75.414794,NA,latitude and longitude from handheld GPS or better,0.668,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Little_Creek_Marsh,LC3,2011,39.157496,-75.426916,NA,latitude and longitude from handheld GPS or better,0.491,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Port_Mahon_Marsh,MH1,2011,39.172129,-75.415222,NA,latitude and longitude from handheld GPS or better,0.437,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Port_Mahon_Marsh,MH2,2011,39.162247,-75.420234,NA,latitude and longitude from handheld GPS or better,0.491,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Port_Mahon_Marsh,MH3,2011,39.162596,-75.427651,NA,latitude and longitude from handheld GPS or better,0.703,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Broad_Dyke_Marsh,NCBD1,2011,39.666314,-75.567868,NA,latitude and longitude from handheld GPS or better,-0.361,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Broad_Dyke_Marsh,NCBD2,2010,39.66571,-75.559982,NA,latitude and longitude from handheld GPS or better,-0.372,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Broad_Dyke_Marsh,NCBD3,2010,39.667368,-75.564615,NA,latitude and longitude from handheld GPS or better,-0.483,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Buttonwood_Marsh,NCBW1,2010,39.676677,-75.554368,NA,latitude and longitude from handheld GPS or better,-0.093,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Buttonwood_Marsh,NCBW2,2010,39.672176,-75.552823,NA,latitude and longitude from handheld GPS or better,0.064,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Buttonwood_Marsh,NCBW3,2010,39.674905,-75.552347,NA,latitude and longitude from handheld GPS or better,-0.089,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Gambacorta_Marsh,NCGB1,2010,39.655706,-75.574378,NA,latitude and longitude from handheld GPS or better,0.319,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Gambacorta_Marsh,NCGB2,2010,39.656914,-75.570169,NA,latitude and longitude from handheld GPS or better,0.225,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Gambacorta_Marsh,NCGB3,2010,39.657391,-75.575393,NA,latitude and longitude from handheld GPS or better,0.142,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Lukens_Marsh,NCLM1,2010,39.687158,-75.544244,NA,latitude and longitude from handheld GPS or better,0.963,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Lukens_Marsh,NCLM2,2010,39.686761,-75.542156,NA,latitude and longitude from handheld GPS or better,0.989,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Lukens_Marsh,NCLM3,2010,39.686297,-75.540714,NA,latitude and longitude from handheld GPS or better,0.921,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Rivers_Edge_Marsh,NCRE1,2010,39.639179,-75.604275,NA,latitude and longitude from handheld GPS or better,0.877,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Rivers_Edge_Marsh,NCRE2,2010,39.638171,-75.601251,NA,latitude and longitude from handheld GPS or better,0.898,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Rivers_Edge_Marsh,NCRE3,2010,39.638604,-75.599228,NA,latitude and longitude from handheld GPS or better,0.946,NAVD88,RTK,brackish,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Pickering_Beach_Marsh,PK1,2011,39.136889,-75.416706,NA,latitude and longitude from handheld GPS or better,0.871,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Pickering_Beach_Marsh,PK2,2011,39.137907,-75.412275,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Pickering_Beach_Marsh,PK3,2011,39.133195,-75.41131,NA,latitude and longitude from handheld GPS or better,0.902,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Ted_Harvey_Conservation_Area,TH1,2011,39.074915,-75.416785,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Ted_Harvey_Conservation_Area,TH2,2011,39.075758,-75.407264,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Ted_Harvey_Conservation_Area,TH3,2011,39.082936,-75.407043,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Ted_Harvey_Conservation_Area,TH4,2011,39.085238,-75.403832,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Ted_Harvey_Conservation_Area,TH5,2011,39.090229,-75.403721,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Ted_Harvey_Conservation_Area,TH6,2011,39.096435,-75.401939,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM1,2009,38.879926,-75.280343,NA,latitude and longitude from handheld GPS or better,0.374,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM10,2011,38.81105,-75.205328,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM11,2011,38.811936,-75.209589,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM12,2011,38.806644,-75.202097,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM2,2009,38.904362,-75.296947,NA,latitude and longitude from handheld GPS or better,0.437,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM3,2009,38.874741,-75.270113,NA,latitude and longitude from handheld GPS or better,0.38,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM4,2009,38.856592,-75.256524,NA,latitude and longitude from handheld GPS or better,0.583,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM5,2009,38.828706,-75.226192,NA,latitude and longitude from handheld GPS or better,0.268,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM6,2011,38.833549,-75.259967,NA,latitude and longitude from handheld GPS or better,0.337,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM7,2010,38.890996,-75.296416,NA,latitude and longitude from handheld GPS or better,0.424,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM8,2010,38.872083,-75.26415,NA,latitude and longitude from handheld GPS or better,0.334,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Prime_Hook_National_Wildlife_Refuge,PM9,2011,38.847229,-75.25312,NA,latitude and longitude from handheld GPS or better,0.252,NAVD88,RTK,saline,emergent,NA,core depth limited by length of corer
Boyd_et_al_2019,Channel_Creek,CC1,2012,39.626412,-74.257139,RTK,NA,0.2786,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Channel_Creek,CC2,2012,39.629015,-74.257836,RTK,NA,0.2836,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Channel_Creek,CC3,2012,39.632963,-74.259188,RTK,NA,0.3115,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dennis_Creek,DN1,2012,39.171719,-74.875761,RTK,NA,0.7328,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dennis_Creek,DN2,2012,39.176258,-74.862284,RTK,NA,0.757,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dennis_Creek,DN3,2012,39.180457,-74.838281,RTK,NA,0.514,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dividing_Creek,DV1,2012,39.225195,-75.107766,RTK,NA,0.871,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dividing_Creek,DV2,2012,39.235697,-75.112711,RTK,NA,0.6568,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dividing_Creek,DV3,2012,39.240992,-75.103073,RTK,NA,0.6289,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Island_Beach_State_Park,IB1,2012,39.79875,-74.102498,RTK,NA,0.0826,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Island_Beach_State_Park,IB2,2012,39.799347,-74.101724,RTK,NA,0.1464,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Island_Beach_State_Park,IB3,2012,39.799634,-74.099346,RTK,NA,0.1255,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Maurice_River,MR1,2012,39.242347,-75.011272,RTK,NA,0.6786,NAVD88,RTK,brackish,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Maurice_River,MR2,2012,39.26585,-74.995256,RTK,NA,0.3521,NAVD88,RTK,brackish,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Maurice_River,MR3,2012,39.2834639,-74.9861528,NA,latitude and longitude from handheld GPS or better,0.724,NA,LiDAR,NA,NA,NA,NA
Boyd_et_al_2019,Reedy_Creek,RC1,2012,40.030725,-74.077599,RTK,NA,0.1043,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Reedy_Creek,RC2,2012,40.029045000000004,-74.084554,RTK,NA,-0.1034,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Reedy_Creek,RC3,2012,40.031056,-74.085961,RTK,NA,-0.07,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Channel_Creek,CC1U,2012,39.626412,-74.257139,RTK,NA,0.2786,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Channel_Creek,CC2U,2012,39.629015,-74.257836,RTK,NA,0.2836,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Channel_Creek,CC3U,2012,39.632963,-74.259188,RTK,NA,0.3115,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dennis_Creek,DN1U,2012,39.171719,-74.875761,RTK,NA,0.7328,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dennis_Creek,DN2U,2012,39.176258,-74.862284,RTK,NA,0.757,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dennis_Creek,DN3U,2012,39.180457,-74.838281,RTK,NA,0.514,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dividing_Creek,DV1U,2012,39.225195,-75.107766,RTK,NA,0.871,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dividing_Creek,DV2U,2012,39.235697,-75.112711,RTK,NA,0.6568,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Dividing_Creek,DV3U,2012,39.240992,-75.103073,RTK,NA,0.6289,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Island_Beach_State_Park,IB1U,2012,39.79875,-74.102498,RTK,NA,0.0826,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Island_Beach_State_Park,IB2U,2012,39.799347,-74.101724,RTK,NA,0.1464,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Island_Beach_State_Park,IB3U,2012,39.799634,-74.099346,RTK,NA,0.1255,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Maurice_River,MR1U,2012,39.242347,-75.011272,RTK,NA,0.6786,NAVD88,RTK,brackish,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Maurice_River,MR2U,2012,39.26585,-74.995256,RTK,NA,0.3521,NAVD88,RTK,brackish,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Maurice_River,MR3U,2012,39.2834639,-74.9861528,NA,latitude and longitude from handheld GPS or better,0.724,NA,LiDAR,NA,NA,NA,NA
Boyd_et_al_2019,Reedy_Creek,RC1U,2012,40.030725,-74.077599,RTK,NA,0.1043,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Reedy_Creek,RC2U,2012,40.029045000000004,-74.084554,RTK,NA,-0.1034,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
Boyd_et_al_2019,Reedy_Creek,RC3U,2012,40.031056,-74.085961,RTK,NA,-0.07,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer
