study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,method_id,compaction_notes,cs137_activity,cs137_unit,depth_interval_notes
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,0,2,0.26571,0.52,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,2,4,0.42952000000000007,0.31,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,4,6,0.42475,0.26,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,6,8,0.47591000000000006,0.19,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,8,10,0.3277,0.24,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,10,11,0.64334,0.14,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,11,12,0.41928,0.15000000000000002,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,12,13,0.61734,0.16,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,13,14,0.43218000000000006,0.16,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,14,15,0.45014,0.27,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,15,16,0.45163,0.19,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,16,17,0.42303,0.25,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,17,18,0.31612,0.31,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,18,19,0.48359,0.22,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,19,20,0.47264,0.19,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,20,21,0.3392299999999999,0.32,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,21,22,0.3382899999999999,0.31,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,0,2,0.17636000000000002,0.58,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,2,4,0.17733000000000002,0.64,NA,single set of methods,NA,NA,NA,NA
