study_id,site_id,core_id,core_latitude,core_longitude,core_position_notes,core_elevation,salinity_class,vegetation_class,inundation_class,core_length_flag
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,25.90711667,-81.50913333,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth limited by length of corer
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,25.88415,-81.5195,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth limited by length of corer
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,25.87431667,-81.51943333,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth limited by length of corer
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,25.8666,-81.5205,latitude and longitude from handheld GPS or better,NA,brackish,forested,NA,core depth limited by length of corer
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,25.85378333,-81.52561667,latitude and longitude from handheld GPS or better,NA,brackish,forested,NA,core depth limited by length of corer
Breithaupt_et_al_2017,Broad_River,WSC11,25.500014,-81.082689,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth represents deposit depth
Breithaupt_et_al_2017,Broad_River,WSC12,25.487167,-81.108817,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth represents deposit depth
Breithaupt_et_al_2017,Broad_River,WSC13_2,25.475686,-81.144869,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth represents deposit depth
Breithaupt_et_al_2017,Harney_River,WSC07,25.416892,-81.012381,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth represents deposit depth
Breithaupt_et_al_2017,Harney_River,WSC08A,25.42345,-81.060336,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth represents deposit depth
Breithaupt_et_al_2017,Harney_River,WSC08B,25.42345,-81.060336,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth represents deposit depth
Breithaupt_et_al_2017,Harney_River,WSC09,25.431494,-81.100006,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth represents deposit depth
Breithaupt_et_al_2017,Harney_River,WSC10_1,25.417389,-81.1321,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth represents deposit depth
Breithaupt_et_al_2017,Shark_River,WSC01,25.442069,-80.905892,latitude and longitude from handheld GPS or better,NA,saline,forested,NA,core depth represents deposit depth
