study_id,site_id,core_id,live_rhizomes,live_roots,detritus
Deegan_et_al_2012,CL-R,CL-R13,5.191,1.684,8.071
Deegan_et_al_2012,CL-R,CL-R18,3.538,0.922,2.01
Deegan_et_al_2012,CL-R,CL-R24,1.212,1.172,7.859999999999999
Deegan_et_al_2012,CL-R,CL-R30,4.518,2.004,7.4110000000000005
Deegan_et_al_2012,CL-R,CL-R36,5.008,1.967,8.818999999999999
Deegan_et_al_2012,CL-R,CL-R40,3.911,1.008,9.785
Deegan_et_al_2012,NE-L,NE-L13,5.712,1.431,12.988
Deegan_et_al_2012,NE-L,NE-L2,2.784,0.619,15.843
Deegan_et_al_2012,NE-L,NE-L23,1.117,1.036,9.593
Deegan_et_al_2012,NE-L,NE-L29,5.614,1.786,20.582
Deegan_et_al_2012,NE-L,NE-L38,5.087000000000001,1.9340000000000002,9.437
Deegan_et_al_2012,NE-L,NE-L50,7.393,3.679,10.574
Deegan_et_al_2012,SW-L,SW-L45,1.324,0.471,13.002
Deegan_et_al_2012,SW-L,SW-L50,0,0.177,5.047
Deegan_et_al_2012,SW-L,SW-L56,4.5409999999999995,1.151,8.422
Deegan_et_al_2012,SW-L,SW-L71,5.847,2.2239999999999998,6.414
Deegan_et_al_2012,SW-L,SW-L77,4.705,1.251,9.928
Deegan_et_al_2012,SW-L,SW-L80,4.877,4.198,5.08
Deegan_et_al_2012,SW-R,SW-R1,1.7429999999999999,0.599,7.128
Deegan_et_al_2012,SW-R,SW-R13,4.683,1.9100000000000001,16.97
Deegan_et_al_2012,SW-R,SW-R28,1.54,0.14600000000000002,7.864
Deegan_et_al_2012,SW-R,SW-R33,4.767,1.156,5.167
Deegan_et_al_2012,SW-R,SW-R37,3.638,2.465,3.795
Deegan_et_al_2012,SW-R,SW-R8,0.657,0.27,11.081
Deegan_et_al_2012,WE-L,WE-L35,2.655,1.6889999999999998,16.799
Deegan_et_al_2012,WE-L,WE-L40,9.802,2.293,24.286
Deegan_et_al_2012,WE-L,WE-L45,0.381,0.037,3.063
Deegan_et_al_2012,WE-L,WE-L63,2.108,0.519,2.446
Deegan_et_al_2012,WE-L,WE-L68,1.63,3.188,9.546
Deegan_et_al_2012,WE-L,WE-L72,2.426,0.853,9.284
Deegan_et_al_2012,WE-R,WE-R1,2.188,0.965,20.781
Deegan_et_al_2012,WE-R,WE-R11,5.151,1.922,13.012
Deegan_et_al_2012,WE-R,WE-R23,1.023,0.46199999999999997,5.992
Deegan_et_al_2012,WE-R,WE-R27,5.736,3.149,22.661
Deegan_et_al_2012,WE-R,WE-R32,5.494,1.138,5.969
Deegan_et_al_2012,WE-R,WE-R5,5.2379999999999995,3.375,24.766
