core_id,site_id,core_latitude,core_longitude,core_date,core_length_flag,vegetation_class,study_id,aboveground_stem_length,aboveground_mass
CL-R13,CL-R,42.74033,-70.83837,2009-09-09,core depth limited by length of corer,seagrass,Deegan_et_al_2012,157.2,12.36
CL-R18,CL-R,42.74053,-70.83843,2009-09-09,core depth limited by length of corer,seagrass,Deegan_et_al_2012,170.2,21.046
CL-R24,CL-R,42.74112,-70.83847,2009-09-09,core depth limited by length of corer,seagrass,Deegan_et_al_2012,154.8,15.766
CL-R30,CL-R,42.74105,-70.83832,2009-09-09,core depth limited by length of corer,seagrass,Deegan_et_al_2012,200,24.49
CL-R36,CL-R,42.74042,-70.83782,2009-09-09,core depth limited by length of corer,seagrass,Deegan_et_al_2012,188,13.09
CL-R40,CL-R,42.74022,-70.83302,2009-09-09,core depth limited by length of corer,seagrass,Deegan_et_al_2012,139.8,12.182
NE-L13,NE-L,42.74156,-70.83908,2009-09-14,core depth limited by length of corer,seagrass,Deegan_et_al_2012,156.3,17.626
NE-L2,NE-L,42.74189,-70.83302,2009-09-14,core depth limited by length of corer,seagrass,Deegan_et_al_2012,183.7,18.841
NE-L23,NE-L,42.74118,-70.83404,2009-09-14,core depth limited by length of corer,seagrass,Deegan_et_al_2012,122.6,13.319
NE-L29,NE-L,42.7409,-70.83414,2009-09-14,core depth limited by length of corer,seagrass,Deegan_et_al_2012,142.1,15.205
NE-L38,NE-L,42.74125,-70.83334,2009-09-14,core depth limited by length of corer,seagrass,Deegan_et_al_2012,139.7,14.814
NE-L50,NE-L,42.74125,-70.83334,2009-09-14,core depth limited by length of corer,seagrass,Deegan_et_al_2012,156.5,17
SW-L45,SW-L,42.72187,-70.84683,2009-09-10,core depth limited by length of corer,seagrass,Deegan_et_al_2012,176.5,13.674
SW-L50,SW-L,42.72122,-70.84677,2009-09-10,core depth limited by length of corer,seagrass,Deegan_et_al_2012,143.5,10.433
SW-L56,SW-L,42.72073,-70.84669,2009-09-10,core depth limited by length of corer,seagrass,Deegan_et_al_2012,184,21.317
SW-L71,SW-L,42.7207,-70.84674,2009-09-14,core depth limited by length of corer,seagrass,Deegan_et_al_2012,136.8,16.308
SW-L77,SW-L,42.72118,-70.84687,2009-09-14,core depth limited by length of corer,seagrass,Deegan_et_al_2012,142.2,15.503
SW-L80,SW-L,42.72174,-70.84892,2009-09-14,core depth limited by length of corer,seagrass,Deegan_et_al_2012,167.2,14.26
SW-R1,SW-R,42.72243,-70.84798,2009-09-10,core depth limited by length of corer,seagrass,Deegan_et_al_2012,161.9,14.212
SW-R13,SW-R,42.72175,-70.84915,2009-09-10,core depth limited by length of corer,seagrass,Deegan_et_al_2012,165.8,16.543
SW-R28,SW-R,42.72097,-70.84718,2009-09-10,core depth limited by length of corer,seagrass,Deegan_et_al_2012,139.4,14.654
SW-R33,SW-R,42.72148,-70.84825,2009-09-10,core depth limited by length of corer,seagrass,Deegan_et_al_2012,134.6,12.892
SW-R37,SW-R,42.72188,-70.84718,2009-09-10,core depth limited by length of corer,seagrass,Deegan_et_al_2012,158,15.897
SW-R8,SW-R,42.72205,-70.84852,2009-09-10,core depth limited by length of corer,seagrass,Deegan_et_al_2012,146.2,13.506
WE-L35,WE-L,42.73909,-70.84929,2009-09-08,core depth limited by length of corer,seagrass,Deegan_et_al_2012,164.2,13.293
WE-L40,WE-L,42.73965,-70.84982,2009-09-08,core depth limited by length of corer,seagrass,Deegan_et_al_2012,152,13.937
WE-L45,WE-L,42.73986,-70.84995,2009-09-08,core depth limited by length of corer,seagrass,Deegan_et_al_2012,174.7,19.206
WE-L63,WE-L,42.73988,-70.84943,2009-09-08,core depth limited by length of corer,seagrass,Deegan_et_al_2012,120.6,13.206
WE-L68,WE-L,42.73972,-70.84923,2009-09-09,core depth limited by length of corer,seagrass,Deegan_et_al_2012,152.4,13.416
WE-L72,WE-L,42.73927,-70.83775,2009-09-09,core depth limited by length of corer,seagrass,Deegan_et_al_2012,154.5,15.557
WE-R1,WE-R,42.73775,-70.8483,2009-09-04,core depth limited by length of corer,seagrass,Deegan_et_al_2012,168.2,13.794
WE-R11,WE-R,42.7378,-70.84742,2009-09-04,core depth limited by length of corer,seagrass,Deegan_et_al_2012,105.8,12.44
WE-R23,WE-R,42.73775,-70.84789,2009-09-08,core depth limited by length of corer,seagrass,Deegan_et_al_2012,166.9,20.016
WE-R27,WE-R,42.73789,-70.84868,2009-09-08,core depth limited by length of corer,seagrass,Deegan_et_al_2012,177.1,13.386
WE-R32,WE-R,42.73783,-70.84904,2009-09-08,core depth limited by length of corer,seagrass,Deegan_et_al_2012,161.6,16.994
WE-R5,WE-R,42.73772,-70.84752,2009-09-04,core depth limited by length of corer,seagrass,Deegan_et_al_2012,151.4,15.303
