study_id,site_id,core_id,method_id,depth_min,depth_max,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit
Stevens_et_al_2024,PI,PI_W,single set of methods,0,2,0.16,0.71,0.23,disintegrationsPerMinutePerGram,33.5,6.62,40.34,6.25,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,2,4,NA,1.52,0.32,disintegrationsPerMinutePerGram,27.96,4.42,34.79,3.86,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,4,6,NA,2.97,0.44,disintegrationsPerMinutePerGram,26.15,3.43,32.99,2.66,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,6,8,NA,6.87,0.55,disintegrationsPerMinutePerGram,36.44,4.09,43.28,3.47,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,8,10,0.21,4.64,0.29,disintegrationsPerMinutePerGram,29.73,3.73,36.56,3.04,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,10,12,NA,4.16,0.7,disintegrationsPerMinutePerGram,34.33,4.05,41.16,3.42,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,12,14,NA,2.92,0.4,disintegrationsPerMinutePerGram,40.56,4.49,47.4,3.93,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,14,16,NA,3.68,0.97,disintegrationsPerMinutePerGram,54.28,6.23,61.11,5.84,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,16,18,0.27,2.04,0.79,disintegrationsPerMinutePerGram,43.64,4.29,50.47,3.7,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,18,20,NA,2.2,0.62,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,20,22,NA,NA,NA,NA,36.45,4.14,43.28,3.52,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,22,24,NA,NA,NA,NA,28.49,3.59,35.33,2.86,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,24,26,0.17,NA,NA,NA,9.22,2.91,16.05,1.94,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,26,28,NA,NA,NA,NA,6.43,2.9,13.26,1.94,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,28,30,NA,NA,NA,NA,5.66,2.98,12.5,2.04,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,30,32,NA,NA,NA,NA,0.57,2.7,7.41,1.62,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,36,38,NA,NA,NA,NA,-2.95,2.76,3.88,1.71,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,42,44,NA,NA,NA,NA,2.01,2.67,8.84,1.56,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_W,single set of methods,48,50,NA,NA,NA,NA,0.59,2.61,7.42,1.46,disintegrationsPerMinutePerGram,0.41,2.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,0,2,0.22,0.66,2.15,disintegrationsPerMinutePerGram,132.57,9.39,140.91,9.33,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,2,4,NA,5.67,3.38,disintegrationsPerMinutePerGram,139.17,17.56,147.5,17.53,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,4,6,NA,5.3,1.86,disintegrationsPerMinutePerGram,134.04,12.18,142.38,12.14,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,6,8,NA,NA,NA,NA,94.08,15.89,102.42,15.86,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,8,10,NA,NA,NA,NA,42.62,4.39,50.96,4.28,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,12,14,NA,11.59,1.83,disintegrationsPerMinutePerGram,54.53,6.12,62.86,6.04,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,14,16,NA,16.33,1.72,disintegrationsPerMinutePerGram,58.37,5.05,66.7,4.95,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,16,18,NA,19.22,0.81,disintegrationsPerMinutePerGram,38.74,4.23,47.07,4.11,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,18,20,0.1,4.56,0.61,disintegrationsPerMinutePerGram,11.2,4.8,19.53,4.7,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,20,22,NA,NA,NA,NA,4.26,1.89,12.6,1.6,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,22,24,NA,NA,NA,NA,-3.45,1.8,4.88,1.49,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,24,26,NA,NA,NA,NA,-4.54,1.79,3.79,1.48,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,26,28,0.01,NA,NA,NA,-5.5,1.54,2.83,1.17,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,28,30,NA,NA,NA,NA,-5.59,1.7,2.74,1.37,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,30,32,NA,NA,NA,NA,-6.96,1.81,1.38,1.51,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,36,38,NA,NA,NA,NA,-7.62,1.67,0.71,1.34,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,42,44,NA,NA,NA,NA,-6.53,1.86,1.8,1.57,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_M,single set of methods,48,50,NA,NA,NA,NA,-6.66,1.59,1.67,1.24,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,0,2,NA,NA,NA,NA,751.14,50.19,756.2,50.18,disintegrationsPerMinutePerGram,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,4,6,NA,NA,NA,NA,310.15,23.83,315.21,23.81,disintegrationsPerMinutePerGram,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,8,10,0.12,NA,NA,NA,115.47,22,120.53,21.98,disintegrationsPerMinutePerGram,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,10,12,NA,0.94,1.71,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,12,14,NA,1.32,1.04,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,14,16,NA,0.2,0.99,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,16,18,0.03,0.12,0.45,disintegrationsPerMinutePerGram,31.26,28.22,36.33,28.21,disintegrationsPerMinutePerGram,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,20,22,NA,NA,NA,NA,15.9,36.35,20.96,36.34,disintegrationsPerMinutePerGram,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,24,26,0.02,NA,NA,NA,12.88,23.25,17.94,23.23,disintegrationsPerMinutePerGram,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,28,30,NA,NA,NA,NA,9.11,8.21,14.17,8.15,disintegrationsPerMinutePerGram,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,32,34,0,NA,NA,NA,8.12,10.19,13.18,10.14,disintegrationsPerMinutePerGram,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,36,38,NA,NA,NA,NA,4.93,10.55,10,10.5,disintegrationsPerMinutePerGram,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,40,42,0.01,NA,NA,NA,3.13,10.14,8.2,10.09,disintegrationsPerMinutePerGram,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PI,PI_H,single set of methods,44,46,NA,NA,NA,NA,5.68,7.9,10.74,7.83,disintegrationsPerMinutePerGram,0.3,1,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,0,2,0.2,2.65,1.65,disintegrationsPerMinutePerGram,207.55,14.46,222.55,14.4,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,2,4,NA,3.69,1.66,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,4,6,NA,5.34,1.47,disintegrationsPerMinutePerGram,208.39,14.64,223.39,14.58,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,6,8,NA,5.64,1,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,8,10,0.2,4.26,1.55,disintegrationsPerMinutePerGram,171.44,12.24,186.44,12.17,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,10,12,NA,5.18,1.49,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,12,14,NA,5.08,1.73,disintegrationsPerMinutePerGram,140.53,10.23,155.53,10.15,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,14,16,NA,1.28,1.58,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,16,18,0.27,4.53,0.9,disintegrationsPerMinutePerGram,108.87,8.22,123.87,8.11,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,18,20,NA,5.9,1.39,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,20,22,NA,7.02,1.39,disintegrationsPerMinutePerGram,98.67,7.69,113.67,7.57,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,22,24,NA,4.93,1.49,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,24,26,0.2,7.57,1,disintegrationsPerMinutePerGram,103.61,8.13,118.61,8.02,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,26,28,NA,3.84,1.07,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,28,30,NA,5.72,1,disintegrationsPerMinutePerGram,89.93,7.19,104.93,7.07,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,30,32,0.21,5.15,1.56,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,31,33,NA,5.94,1.37,disintegrationsPerMinutePerGram,72.83,7.01,87.83,6.88,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,34,36,NA,5.53,1.45,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
