"Data set title: John A. Turck. 2014. Vibracore and Tree Stump Data from the Marsh Near Mary Hammock, McIntosh County, GA. Georgia Coastal Ecosystems LTER Data Catalog (data set GEL-GCES-1402; http://gce-lter.marsci.uga.edu/public/app/dataset_details.asp?accession=GEL-GCES-1402)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Name","Distance_Above_MLLW","Distance_Below_Ground_Surface","Flag_Distance_Below_Ground_Surface","Percent_Sand","Flag_Percent_Sand","Percent_Silt","Flag_Percent_Silt","Percent_Clay","Flag_Percent_Clay","Soil_Texture","Lab_ID","Sample_ID","Percent_Organic_Matter","Flag_Percent_Organic_Matter","Total_Carbon","Flag_Total_Carbon"
"none","centimeters","centimeters","none","percent","none","percent","none","percent","none","none","none","none","percent","none","percent","none"
"nominal","text","data","code","data","code","data","code","data","code","text","nominal","nominal","data","code","data","code"
"MT01","180 to 170",35.0,"",88.7,"",4.2,"",7.1,"","Sand",79732,"A2",1.24,"",0.54,""
"MT01","170 to 160",45.0,"",89.4,"",3.9,"",6.7,"","Sand",79733,"A3",0.64,"",0.30,""
"MT01","160 to 150",56.0,"",86.2,"",4.9,"",9.0,"","Loamy Sand",79734,"A4",0.80,"",0.38,""
"MT01","150 to 140",65.0,"",88.6,"",4.3,"",7.1,"","Loamy Sand",79735,"A5",0.54,"",0.26,""
"MT01","140 to 130",76.0,"",90.4,"",4.7,"",4.9,"","Sand",79736,"A6",0.68,"",0.23,""
"MT01","130 to 120",87.0,"",81.8,"",2.3,"",15.9,"","Sandy Loam",79737,"A7",0.70,"",0.32,""
"MT01","120 to 110",95.0,"",76.7,"",1.2,"",22.1,"","Sandy Clay Loam",79738,"A8",1.48,"",0.66,""
"MT01","110 to 100",105.0,"",78.7,"",2.4,"",18.9,"","Sandy Loam",79739,"A9",1.14,"",0.44,""
"MT01","100 to 90",115.0,"",85.2,"",1.1,"",13.7,"","Loamy Sand",79740,"A10",1.04,"",0.43,""
"MT01","90 to 80",125.0,"",85.5,"",0.8,"",13.7,"","Loamy Sand",79741,"A11",1.04,"",0.39,""
"MT01","80 to 70",134.0,"",90.6,"",0.7,"",8.7,"","Sand",79742,"A12",0.84,"",0.37,""
"MT01","70 to 60",145.0,"",86.0,"",3.9,"",10.1,"","Loamy Sand",79743,"A13",0.56,"",0.19,""
"MT01","70 to 60 extra",148.0,"",96.2,"",0.7,"",3.1,"","Sand",79744,"A14",0.38,"",0.11,""
"MT01","60 to 50",161.0,"",83.7,"",5.7,"",10.6,"","Loamy Sand",79745,"A15",0.44,"",0.13,""
"MT01","50 to 40",163.0,"",35.1,"",29.7,"",35.2,"","Clay Loam",79746,"A16",1.04,"",0.32,""
"MT01","50 to 40 extra",165.0,"",22.5,"",32.6,"",45.0,"","Clay",79747,"A17",0.90,"",0.36,""
"MT01","40 to 30",177.0,"",6.1,"",38.9,"",55.0,"","Clay",79748,"A18",1.84,"",0.34,""
"MT01","30 to 20",187.0,"",2.7,"",30.3,"",67.0,"","Clay",79749,"A19",0.94,"",0.35,""
"MT01","20 to 10",197.0,"",2.3,"",33.1,"",64.7,"","Clay",79750,"A20",0.96,"",0.35,""
"MT03","220 to 210",11.0,"",5.6,"",30.1,"",64.4,"","Clay",,"",,"",,""
"MT03","190 to 180",42.0,"",9.2,"",24.8,"",66.0,"","Clay",79769,"C1",3.28,"",3.62,""
"MT03","180 to 170",54.0,"",16.5,"",19.3,"",64.3,"","Clay",79770,"C2",2.88,"",4.10,""
"MT03","170 to 160",62.0,"",84.0,"",4.9,"",11.1,"","Loamy Sand",79771,"C3",3.96,"",3.22,""
"MT03","160 to 150",74.0,"",62.5,"",12.1,"",25.4,"","Sandy Clay Loam",79772,"C4",1.82,"",1.10,""
"MT03","150 to 140",83.0,"",68.9,"",10.6,"",20.5,"","Sandy Clay Loam",79773,"C5",1.66,"",1.01,""
"MT03","140 to 130",92.0,"",70.0,"",10.5,"",19.5,"","Sandy Loam",79774,"C6",1.64,"",0.74,""
