study_id,site_id,core_id,core_latitude,core_longitude
Agawin_et_al_1996,Cape_Bolinao,Agawin_et_al_1996_1,16.4505,119.9225
Agawin_et_al_1996,Cape_Bolinao,Agawin_et_al_1996_2,16.412,119.907
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_1,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_2,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_3,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_4,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_5,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_6,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_7,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_8,29.46,34.97
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_9,29.46,34.97
Alongi_et_al_2008,S_Sulawesi,Alongi_et_al_2008_1,-4.14,119.36
Alongi_et_al_2008,S_Sulawesi,Alongi_et_al_2008_2,-4.14,119.36
Alongi_et_al_2008,S_Sulawesi,Alongi_et_al_2008_3,-4.14,119.36
Amon_and_Herndl_1991,Ischia_Italy,Amon_and_Herndl_1991_1,40.7543,13.8913
Amon_and_Herndl_1991,Ischia_Italy,Amon_and_Herndl_1991_2,40.7543,13.8913
Amon_and_Herndl_1991,Ischia_Italy,Amon_and_Herndl_1991_3,40.7543,13.8913
Amon_and_Herndl_1991,Ischia_Italy,Amon_and_Herndl_1991_4,40.7543,13.8913
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_1,37.39,23.58
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_2,37.39,23.58
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_3,37.39,23.58
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_4,37.39,23.58
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_5,37.39,23.58
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_6,37.39,23.58
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_7,37.39,23.58
Apostolaki_unpublished,Psaromoura_Crete,Apostolaki_unpublished_8,35.24,25.01
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_1,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_10,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_11,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_12,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_2,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_3,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_4,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_5,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_6,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_7,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_8,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_9,40.6,0.716666667
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_1,36.03,14.17
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_10,35.58,14.21
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_11,35.58,14.21
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_12,35.58,14.21
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_13,35.56,14.28
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_14,35.56,14.28
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_15,35.56,14.28
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_16,35.56,14.28
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_17,35.56,14.28
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_18,35.56,14.28
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_19,35.51,14.33
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_2,36.03,14.17
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_20,35.51,14.33
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_21,35.51,14.33
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_22,35.51,14.33
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_23,35.51,14.33
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_24,35.51,14.33
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_3,36.03,14.17
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_4,36.03,14.17
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_5,36.03,14.17
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_6,36.03,14.17
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_7,35.58,14.21
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_8,35.58,14.21
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_9,35.58,14.21
Boschker_et_al_2000,Europe_1,Boschker_et_al_2000_1,55.171973,10.493102
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_10,44.39,-1.09
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_11,44.39,-1.09
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_12,44.39,-1.09
Boschker_et_al_2000,Europe_1,Boschker_et_al_2000_2,55.171973,10.493102
Boschker_et_al_2000,Europe_3,Boschker_et_al_2000_3,51.36,4.06
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_4,44.39,-1.09
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_5,44.39,-1.09
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_6,44.39,-1.09
Boschker_et_al_2000,Europe_1,Boschker_et_al_2000_7,55.171973,10.493102
Boschker_et_al_2000,Europe_1,Boschker_et_al_2000_8,55.171973,10.493102
Boschker_et_al_2000,Europe_3,Boschker_et_al_2000_9,51.36,4.06
