study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,elevation,elevation_datum,elevation_method,salinity_class,salinity_method,vegetation_class,vegetation_method,inundation_class,inundation_method,core_length_flag,habitat
Fell_et_al_2021,GTMNERRSouthern,NM1GW,2018,5,23,29.727394444444442,-81.24054444444444,handheld,0.4468888889,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM2GW,2018,5,23,29.72719722222222,-81.24004166666667,handheld,0.503155556,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM3GW,2018,5,23,29.72705,-81.24009444444445,handheld,0.48748888889,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM4GW,2018,5,23,29.72764722222222,-81.23995555555555,handheld,0.4864666667,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM5GW,2018,5,23,29.72735833333333,-81.24049444444445,handheld,0.44631111,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM6GW,2018,5,23,29.727119444444444,-81.24045,handheld,0.4652888889,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM1GC,2018,5,23,29.727352777777774,-81.24056944444445,handheld,0.42456667,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM2GC,2018,5,23,29.727377777777775,-81.24002222222222,handheld,0.496522222,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM3GC,2018,5,23,29.72708611111111,-81.24008611111111,handheld,0.4949,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM4GC,2018,5,23,29.727633333333333,-81.23975555555556,handheld,0.48771111,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM5GC,2018,5,23,29.72751111111111,-81.240275,handheld,0.495322222,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM6GC,2018,5,23,29.727030555555555,-81.24039444444445,handheld,0.4870555556,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM1MW,2018,5,23,29.727405555555553,-81.24046666666666,handheld,0.4704777778,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM2MW,2018,5,23,29.72728611111111,-81.2399638888889,handheld,0.498,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM3MW,2018,5,23,29.727019444444444,-81.24005277777778,handheld,0.484966667,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM4MW,2018,5,23,29.727527777777777,-81.23991666666667,handheld,0.4940777778,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM5MW,2018,5,23,29.727419444444443,-81.2404,handheld,0.481788889,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
