study_id,site_id,core_id,year,latitude,longitude,position_method,position_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10,2015,46.17301062041299,-64.04982267715582,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10X1,2015,46.17301062041299,-64.04982267715582,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10X2,2015,46.17301,-64.04982,other low resolution,position at site level,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O33,2015,46.1743896052834,-64.04954581243523,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O5,2015,46.17385732781703,-64.04985763214151,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_B_O31,2015,46.17477389502072,-64.05352984096356,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_B_W22,2015,46.17372198682946,-64.0527272154903,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_B_W4,2015,46.17427797154062,-64.05304965603496,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_C_W34,2015,46.17312630827455,-64.05585974353077,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_C_W5,2015,46.171760140937515,-64.05565310882433,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_C_W7,2015,46.166667,64.05,other low resolution,position at site level,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_D_O14,2015,46.17202262277402,-64.05691140710765,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_D_O18,2015,46.171699235613595,-64.0569282709361,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_D_O6,2015,46.17192256352252,-64.05690247004807,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_E_W11,2015,46.17149876221616,-64.06181787538837,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_E_W30,2015,46.17104129023271,-64.0616294440251,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_E_W32,2015,46.17060461691573,-64.0615146673289,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_F_W18,2015,46.17004859899799,-64.06404906934499,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_F_W9,2015,46.17039850541911,-64.06439037816783,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_G_O12,2015,46.16933970933881,-64.06594864548272,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_G_W28,2015,46.169235164723375,-64.0657098802739,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_G_W35,2015,46.169483395399126,-64.06629543298327,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Pt Carron,Pt Carron_A_11,2015,47.64925476361544,-65.61620946225105,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Pt Carron,Pt Carron_A_17,2015,47.64837358785463,-65.6151191895415,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Pt Carron,Pt Carron_A_20,2015,47.64822611106153,-65.6149408099351,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Pt Carron,Pt Carron_A_21,2015,47.64814974798522,-65.61483479358319,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Pt Carron,Pt Carron_A_24,2015,47.647463901465336,-65.61387066697988,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Pt Carron,Pt Carron_A_5,2015,47.64997003404194,-65.6167308821713,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Pt Carron,Pt Carron_B_30,2015,47.6534337651855,-65.60681937081831,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Pt Carron,Pt Carron_B_32,2015,47.6526105756806,-65.60645805552028,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Pt Carron,Pt Carron_B_33,2015,47.65216822317407,-65.60634019261104,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Pt Carron,Pt Carron_B_35,2015,47.65089698410653,-65.60609386378438,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Pt Carron,Pt Carron_B_40,2015,47.65,65.6,other low resolution,position at site level,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_1,2015,43.3,70.566667,other low resolution,position at site level,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_10,2015,43.31592551236119,-70.57517995319968,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_12,2015,43.31568574386559,-70.57480532373691,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_13,2015,43.315464095544414,-70.57414846148599,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_17X-3,2015,43.314154959878664,-70.57019302669667,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_2,2015,43.3,70.566667,other low resolution,position at site level,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_3,2015,43.316890378085105,-70.57816832714211,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_4,2015,43.31679828165218,-70.5778942457272,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_5,2015,43.31660835864726,-70.57738469632086,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_7,2015,43.31627076007443,-70.57646381264063,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_8,2015,43.316106557060415,-70.57599797496773,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_A_9,2015,43.31592332093464,-70.57542204319901,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells spit,Wells spit_B_11,2015,43.310051765457864,-70.56667024462449,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells spit,Wells spit_B_6,2015,43.30987603210308,-70.56593158132611,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_C_14,2015,43.327235462344134,-70.56330883565451,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_C_15,2015,43.32786719653922,-70.56016752471125,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
van_Ardenne_et_al_2018,Wells,Wells_C_16,2015,43.32826293260274,-70.55808240823282,other high resolution,Lecia Viva differential GPS,estuarine,field observation,emergent,field observation,marsh,low,field observation,core depth represents deposit depth
